adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,45105,1,39241.35,4510.5,1353.15,0,0,1353.15
Niger,Agadez,Arlit,134122,2,97909.06,26824.4,9388.54,0,0,9388.54
Niger,Agadez,Bilma,22904,1,19468.4,2290.4,1145.2,0,0,1145.2
Niger,Agadez,Tchirozerine,161504,2,114667.84,40376,6460.16,0,0,6460.16
Niger,Agadez,Iferouane,41799,2,32185.23,8359.8,1253.97,0,0,1253.97
Niger,Agadez,Ingall,66283,2,43083.95,16570.75,6628.3,0,0,6628.3
Niger,Diffa,Bosso,39212,2,21566.6,11763.6,5881.8,0,0,5881.8
Niger,Diffa,Diffa Com,72099,2,48306.33,18024.75,5767.92,0,0,5767.92
Niger,Diffa,Diffa_departement,131949,2,84447.36,27709.29,19792.35,0,0,19792.35
Niger,Diffa,Goudoumaria,128466,1,105342.12,20554.56,2569.32,0,0,2569.32
Niger,Diffa,Maine Soroa,168203,2,104285.86,50460.9,13456.24,0,0,13456.24
Niger,Diffa,N'gourty,66133,2,47615.76,13226.6,5290.64,0,0,5290.64
Niger,Diffa,N'guigmi,93737,3,35620.06,31870.58,26246.36,0,0,26246.36
Niger,Dosso,Boboye,339340,1,285045.6,50901,3393.4,0,0,3393.4
Niger,Dosso,Djoundjou,147257,1,125168.45,17670.84,4417.71,0,0,4417.71
Niger,Dosso,Dosso,541969,1,460673.65,70455.97,10839.38,0,0,10839.38
Niger,Dosso,Doutchi,500382,1,435332.34,60045.84,5003.82,0,0,5003.82
Niger,Dosso,Falmey,138735,1,117924.75,18035.55,2774.7,0,0,2774.7
Niger,Dosso,Gaya,351486,1,316337.4,31633.74,3514.86,0,0,3514.86
Niger,Dosso,Loga,235825,1,191018.25,40090.25,4716.5,0,0,4716.5
Niger,Dosso,Tibiri,362741,1,326466.9,32646.69,3627.41,0,0,3627.41
Niger,Maradi,Aguie,339495,2,169747.5,118823.25,50924.25,0,0,50924.25
Niger,Maradi,Bermo,72143,1,43285.8,23085.76,5771.44,0,0,5771.44
Niger,Maradi,Dakoro,870034,1,704727.54,139205.44,26101.02,0,0,26101.02
Niger,Maradi,Gazaoua,221553,1,190535.58,28801.89,2215.53,0,0,2215.53
Niger,Maradi,Guidan Roumdji,722773,1,607129.32,72277.3,43366.38,0,0,43366.38
Niger,Maradi,Madarounfa,619469,1,532743.34,74336.28,12389.38,0,0,12389.38
Niger,Maradi,Mayahi,768963,1,638239.29,107654.82,23068.89,0,0,23068.89
Niger,Maradi,Tessaoua,711919,2,434270.59,227814.08,49834.33,0,0,49834.33
Niger,Niamey,Acn1,269543,2,161725.8,94340.05,13477.15,0,0,13477.15
Niger,Niamey,Acn2,316872,2,190123.2,110905.2,15843.6,0,0,15843.6
Niger,Niamey,Acn3,209421,2,125652.6,73297.35,10471.05,0,0,10471.05
