adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Niger,Agadez,Aderbissinat,46628,2,20516,18651,7460,0,0,7460
Niger,Agadez,Arlit,138649,2,77643,40208,20797,0,0,20797
Niger,Agadez,Bilma,23677,2,17758,4972,947,0,0,947
Niger,Agadez,Iferouane,43210,2,25926,9938,7346,0,0,7346
Niger,Agadez,Ingall,68519,2,47963,13704,6852,0,0,6852
Niger,Agadez,Tchirozerine,323048,2,242286,71071,9691,0,0,9691
Niger,Diffa,Goudoumaria,132795,2,77021,46478,9296,0,0,9296
Niger,Diffa,Maine-Soroa,173872,2,107801,52162,13910,0,0,13910
Niger,Diffa,N'gourti,68362,3,28028,23927,15040,1367,0,16407
Niger,Dosso,Boboye,352383,2,278383,59905,14095,0,0,14095
Niger,Dosso,Dioundiou,77367,1,64215,11605,1547.34,0,0,1547.34
Niger,Dosso,Dogondoutchi_accessible,373569,2,283912,74714,14943,0,0,14943
Niger,Dosso,Dosso,762693,2,541512,190673,30508,0,0,30508
Niger,Dosso,Falmey,144067,2,109491,27373,7203,0,0,7203
Niger,Dosso,Gaya,364996,1,302947,54749,7300,0,0,7300
Niger,Dosso,Loga,244890,2,186116,36734,22040,0,0,22040
Niger,Dosso,Tibiri (Doutchi),376684,2,293814,64036,18834,0,0,18834
Niger,Maradi,Aguie,354389,2,269336,81509,3544,0,0,3544
Niger,Maradi,Bermo,75307,2,54221,18827,2259,0,0,2259
Niger,Maradi,Dakoro,908202,2,708398,181640,18164,0,0,18164
Niger,Maradi,Gazaoua,231273,1,187331,39316,4625,0,0,4625
Niger,Maradi,Guidan Roumdji_accessible,472588,2,368619,94518,9452,0,0,9452
Niger,Maradi,Madarounfa_accessible,313155,1,256787,53236,3132,0,0,3132
Niger,Maradi,Mayahi,802698,2,537808,240809,24081,0,0,24081
Niger,Maradi,Tessaoua,756950,2,575282,166529,15139,0,0,15139
Niger,Niamey,Niamey,1359050,2,951335,244629,163086,0,0,163086
Niger,Tahoua,Abalak,352626,2,239786,98735,14105,0,0,14105
Niger,Tahoua,Bagaroua,99463,3,34812,39785,22876,1989.26,0,24866
Niger,Tahoua,Birni N'konni,430477,2,301334,99010,30133,0,0,30133
Niger,Tahoua,Bouza,590936,2,419565,147734,23637,0,0,23637
Niger,Tahoua,Illela,463132,2,254723,162096,46313,0,0,46313
Niger,Tahoua,Keita,371189,3,129916,148476,85373,7424,0,92797
Niger,Tahoua,Madaoua,750565,1,607958,120090,22517,0,0,22517
Niger,Tahoua,Malbaza,319752,1,265394,38370,15988,0,0,15988
Niger,Tahoua,Tahoua_accessible,708518,2,524303,155874,28341,0,0,28341
Niger,Tahoua,Tchintabaraden,199613,2,145717,45911,7985,0,0,7985
Niger,Tillaberi,Balleyara,149679,2,106272,35923,7484,0,0,7484
Niger,Tillaberi,Filingue,428533,3,235693,102848,81421,8570.66,0,89992
Niger,Tillaberi,Gotheye,336766,2,242472,80824,13471,0,0,13471
Niger,Tillaberi,Kollo,585604,2,439203,134689,11712,0,0,11712
Niger,Tillaberi,Ouallam_accessible,301406,3,87408,150703,60281,3014.06,0,63295
Niger,Tillaberi,Say,245369,2,176666,63796,4907,0,0,4907
Niger,Tillaberi,Tera_accessible,377126,2,271531,94282,11314,0,0,11314
Niger,Tillaberi,Tillaberi_accessible,215593,2,159539,53898,2156,0,0,2156
Niger,Zinder,Belbedji,137500,2,107250,24750,5500,0,0,5500
Niger,Zinder,Damagaram Takaya,343807,2,244103,85952,13752,0,0,13752
Niger,Zinder,Dungass,504467,1,443931,50447,10089,0,0,10089
Niger,Zinder,Goure,467332,2,327132,98140,37387,4673,0,42060
Niger,Zinder,Kantche,569066,1,466634,91051,11381,0,0,11381
Niger,Zinder,Magaria,823621,1,667133,140016,16472,0,0,16472
Niger,Zinder,Mirriah,811553,2,486932,243466,81155,0,0,81155
Niger,Zinder,Takeita,263789,2,171463,79137,13189,0,0,13189
Niger,Zinder,Tanout,611789,2,354838,214126,42825,0,0,42825
Niger,Zinder,Tesker,52935,2,37584,13234,2117,0,0,2117
Niger,Diffa,Bosso Al,15468,3,8043,3403,3094,928.08,0,4022
Niger,Diffa,Diffa_limitedaccess,296791,3,130588,103877,59358,2967.91,0,62326
Niger,Diffa,N'guigmi_limitedaccess,96896,3,59107,14534,19379,3876,0,23255
Niger,Dosso,Dogondoutchi_limitedaccess,146047,3,54037,61340,30670,0,0,30670
Niger,Maradi,Guidan Roumdji_limitedaccess,268094,3,144771,67024,50938,5361.88,0,56300
Niger,Maradi,Madarounfa_limitedaccess,333490,3,176750,83373,66698,6670,0,73368
Niger,Tahoua,Tassara Al,33649,2,22545,7739,3028,336.49,0,3365
Niger,Tahoua,Tillia Al,53649,2,35408,13412,4828,0,0,4828
Niger,Tillaberi,Abala Al,201586,3,96761,42333,48381,14111,0,62492
Niger,Tillaberi,Ayerou Al,79678,3,35855,20716,17529,5577,0,23107
Niger,Tillaberi,Banibangou Al,93536,3,46768,18707,22449,5612,0,28061
Niger,Tillaberi,Bankilare Al,118606,3,53373,35582,27279,2372.12,0,29652
Niger,Tillaberi,Ouallam_limitedaccess,155765,3,54518,62306,35826,3115.3,0,38941
Niger,Tillaberi,Tera_limitedaccess,92596,3,45372,24075,20371,2777.88,0,23149
Niger,Tillaberi,Tillaberi_limitedaccess,35435,2,24805,8859,1772,0,0,1772
Niger,Tillaberi,Torodi Al,255132,3,127566,63783,61232,2551,0,63783
