adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Niger,Agadez,Aderbissinat,48195,2,35665,10121,2410,0,0,2410,1,2,3,3,9,7.8,83.2,2,89.9,9.2,0.9,0,0,1,92.3,0.3,7.1,0.3,0,1,70,23.3,2.3,4.4,2,81.2,17.4,1.4,1
Niger,Agadez,Arlit,143311,2,84553,40127,17197,1433,0,18630,1,2,3,3,1.6,1.4,96.9,1,97.5,1.7,0.8,0,0,1,99.1,0.2,0.7,0,0,1,67.9,30.4,0.6,1.1,2,95.5,4.5,0,1
Niger,Agadez,Bilma,24473,2,15418,6118,2937,0,0,2937,2,2,3,3,6.1,69.3,24.6,2,30.9,68.8,0.3,0,0,2,100,0,0,0,0,1,89.9,9.4,0.2,0.5,1,97.6,2.4,0,1
Niger,Agadez,Iferouane,44663,2,28137,10272,5806,447,0,6253,2,2,3,3,12.4,23.5,64.1,3,70.2,10.8,7.8,5.1,6,2,90.8,3.2,5.4,0,0.6,1,56.2,21.1,4,18.7,3,67,25.8,7.3,2
Niger,Agadez,Ingall,70824,2,51701,13457,5666,0,0,5666,1,2,3,3,10.3,5.8,84,2,88.6,6.3,3.6,0.7,0.8,1,90.9,0.3,8.7,0,0,1,77,20.5,1.3,1.2,2,80,18.7,1.4,2
Niger,Agadez,Tchirozerine Department,172567,2,94912,56947,20708,0,0,20708,2,2,3,3,25,19.2,55.9,4,83.7,12.6,1.8,1.8,0.1,1,79.5,4.6,15.2,0,0.7,2,37.7,39.3,10.2,12.9,3,50.7,41.5,7.8,2
Niger,Agadez,Ville D'agadez,161344,2,90353,61311,9681,0,0,9681,2,2,3,3,13.8,11.7,55.9,2,84.9,11,2.2,1.2,0.7,1,89.7,2.1,7.9,0,0.3,1,58.7,29.6,4.2,7.5,2,73.7,22.6,3.8,2
Niger,Diffa,Bosso,104780,3,40864,30386,27243,6287,0,33530,3,4,4,3,46.3,11.6,42.1,4,39,14.4,18.6,21.2,6.8,4,29.8,4.1,50.4,7.4,8.3,3,5.8,15.7,36.4,42.1,4,20.7,41.3,38,3
Niger,Diffa,Diffa,141033,3,60644,42310,33848,4231,0,38079,3,3,4,3,36.1,21.3,42.6,4,61.1,17,5.2,4.4,12.2,3,68.8,6.1,25.1,0,0,3,36,5.3,20.2,38.5,4,41.3,56.3,2.4,2
Niger,Diffa,Goudoumaria,137311,2,85133,31581,20597,0,0,20597,1,2,3,3,4.7,51.4,43.9,1,84,13,2.8,0.2,0,1,56.8,20.4,22.9,0,0,3,17,36.8,13.3,32.9,4,54.6,37.6,7.8,2
Niger,Diffa,Maine Soroa,179784,2,109668,50340,19776,0,0,19776,2,2,4,3,7.2,24,68.7,2,80.4,13.8,3.2,2.6,0,1,79.9,6.8,13.3,0,0,2,36.1,49.9,6.5,7.5,2,39.3,40.8,19.9,2
Niger,Diffa,N'gourti,70687,2,40291,21206,9189,0,0,9189,2,2,4,3,13.7,17.5,68.8,3,49.1,17.7,22.6,10.3,0.3,3,90.4,4.5,5.1,0,0,1,60.1,21.9,5,13,2,59.5,32.6,7.9,2
Niger,Diffa,N'guigmi,100190,3,49093,27051,21040,3006,0,24046,2,3,4,3,6.1,34.8,59.1,2,81.1,15.8,2.4,0.6,0,1,80.5,16.5,3,0,0,1,43.3,33.5,11.6,11.6,3,49.4,42.7,7.9,2
Niger,Diffa,Ville De Diffa,77063,2,53944,17724,5394,0,0,5394,2,3,3,3,7.4,33,59.6,2,76.1,14.2,6.2,3.1,0.1,2,73.4,11.3,15.3,0,0,2,33.4,40,8.7,17.9,3,48.5,38.2,13.3,2
Niger,Dosso,Boboye,365937,1,296409,58550,10978,0,0,10978,1,1,2,3,35.3,33.5,31.2,4,61.2,12.1,12.4,7,7.3,3,88.3,5.3,6.4,0,0,1,77.9,13.3,5.5,3.4,2,71.4,24.7,3.9,2
Niger,Dosso,Dioundiou,158799,1,136567,19056,3176,0,0,3176,1,1,2,3,17.3,30.5,52.2,3,56.8,28.2,10.4,3.5,1.1,2,85,10.7,4.2,0,0,1,87.2,9.9,1.4,1.5,1,66.5,33.5,0,2
Niger,Dosso,Dogondoutchi,539602,2,275197,167277,97128,0,0,97128,2,3,2,3,28,59.7,12.2,4,67.9,18.4,6.4,3.9,3.4,2,33.6,14.1,52.3,0,0,3,32.2,22.8,21.3,23.6,4,19.1,51.4,29.4,3
Niger,Dosso,Dosso Department,584446,1,479246,93511,11689,0,0,11689,1,1,2,3,26.3,36.6,37.1,4,49.6,16.4,16,12.6,5.4,3,94.8,1.6,3.6,0,0,1,88.4,7.8,2.4,1.4,1,93.1,6.5,0.4,1
Niger,Dosso,Falmey,149609,1,122679,25433,1496,0,0,1496,1,1,2,3,41.9,31.6,26.5,4,76.9,8.9,3.2,7.8,3.3,2,94,6,0,0,0,1,80.7,10.2,8.7,0.4,1,95.3,4.7,0,1
Niger,Dosso,Gaya,379035,1,310809,60646,7581,0,0,7581,1,1,2,4,30.9,29.1,40,4,47.2,18.1,17,10.6,7.2,3,79,2.7,17.9,0,0.4,2,59.5,28.5,8.1,3.8,2,83.5,13.4,3.1,1
Niger,Dosso,Loga,254309,2,132241,76293,45776,0,0,45776,2,2,2,3,27,65.7,7.2,4,62,20.6,11.6,5.3,0.5,2,34.8,11.7,53.3,0.2,0,3,51.6,23.1,9.8,15.4,3,44.9,49.1,6.1,2
Niger,Dosso,Tibiri,391172,2,297291,86058,7823,0,0,7823,2,1,2,3,9.5,41.8,48.7,2,68.7,17.3,11.7,2.2,0,2,79.3,13,7.7,0,0,2,73.2,16.7,7,3.1,2,46,52.7,1.3,2
Niger,Dosso,Ville De Dosso,129126,2,98136,27116,3874,0,0,3874,2,1,2,3,26.1,40.8,33.1,4,60,17.4,11.8,6.9,3.9,3,71.7,8,20.2,0,0.1,3,66.1,17.4,8.9,7.6,2,63.1,30.1,6.8,2
Niger,Maradi,Aguie,370006,1,303405,55501,11100,0,0,11100,1,1,3,4,18.8,54.5,26.7,3,84.2,9.5,4.2,0.5,1.5,1,89.8,4.1,6.1,0,0,1,72.7,19.7,7.1,0.4,2,91.9,8.1,0,1
Niger,Maradi,Bermo,78626,3,35382,23588,18084,1573,0,19657,2,3,3,4,9.8,19.3,70.8,2,78.8,12.8,5.3,0.5,2.7,2,93.3,5.4,1.3,0,0,1,56,24.8,10.7,8.5,2,81.8,15.6,2.7,1
Niger,Maradi,Dakoro,948225,2,635311,199127,104305,9482,0,113787,2,2,3,4,10.3,25,64.7,3,76.5,11.1,7,3.6,1.8,2,99.8,0.2,0,0,0,1,75.2,16.1,4.6,4,2,95.6,4.4,0,1
Niger,Maradi,Gazaoua,241464,1,195586,38634,7244,0,0,7244,1,2,2,4,13.6,52.1,34.4,3,51.1,13.4,8.6,16.1,10.8,4,98.8,0.9,0.3,0,0,1,67,25.7,5.9,1.4,2,98.4,1.6,0,1
Niger,Maradi,Guidan Roumdji_inaccessible_nov2021,160944,2,106223,37017,17704,0,0,17704,2,2,3,4,40.6,42.7,16.8,4,32.9,23.1,25.2,16.1,2.8,3,87.4,9.1,3.5,0,0,1,74.1,10.5,11.9,3.5,2,71.3,27.3,1.4,2
Niger,Maradi,Guidan Roumdji_accessible_nov2021,626786,1,513965,94018,18804,0,0,18804,1,1,3,4,10.1,20.6,69.3,3,81.2,10.5,5.8,2.1,0.3,1,97.1,1.4,1.5,0,0,1,90.7,3.1,2.4,3.8,1,93.1,6.9,0,1
Niger,Maradi,Madarounfa_inaccessible_nov2021,196722,2,110164,59017,27541,0,0,27541,2,2,3,4,28,17.4,54.5,4,52.6,9.1,13.3,10.6,14.4,4,99.6,0,0.4,0,0,1,91.7,4.2,1.5,2.6,1,97,2.3,0.8,1
Niger,Maradi,Madarounfa_accessible_nov2021,478419,1,392303,71763,14353,0,0,14353,1,1,3,4,16,24.5,59.5,3,77.4,8.3,2.9,3.8,7.6,2,92.9,3.5,3.6,0,0,1,85.6,9.1,2.2,3,1,96,3.7,0.3,1
