adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Niger,Agadez,Aderbissinat,48195,2,30363,13495,4338,0,0,4338,2,2,3,3
Niger,Agadez,Arlit,143311,3,57324,51592,31528,2866,0,34395,2,3,3,3
Niger,Agadez,Bilma,24473,3,11502,7587,5139,245,0,5384,3,2,3,3
Niger,Agadez,Iferouane,44663,3,19205,15185,9379,893,0,10272,3,3,3,3
Niger,Agadez,Ingall,70824,2,42494,21247,7082,0,0,7082,2,2,3,3
Niger,Agadez,Tchirozerine Department,172567,3,84558,48319,37965,1726,0,39690,3,2,3,3
Niger,Agadez,Ville D'agadez,161344,2,83899,64538,12908,0,0,12908,2,2,3,3
Niger,Diffa,Bosso,104780,3,28291,36673,31434,8382,0,39816,3,4,3,3
Niger,Diffa,Diffa,141033,3,53593,45131,36669,5641,0,42310,3,4,3,3
Niger,Diffa,Goudoumaria,137311,3,60417,43939,30208,2746,0,32955,2,3,3,3
Niger,Diffa,Maine Soroa,179784,2,102477,53935,23372,0,0,23372,2,2,3,3
Niger,Diffa,N'gourti,70687,3,36757,18379,14844,707,0,15551,3,2,3,3
Niger,Diffa,N'guigmi,100190,3,42080,29055,25048,4008,0,29055,3,3,3,3
Niger,Diffa,Ville De Diffa,77063,2,47008,21578,8477,0,0,8477,2,3,3,3
Niger,Dosso,Boboye,365937,2,226881,113441,25616,0,0,25616,1,2,3,3
Niger,Dosso,Dioundiou,158799,2,119099,33348,6352,0,0,6352,2,1,3,3
Niger,Dosso,Dogondoutchi,539602,3,242821,183465,107920,5396,0,113316,2,3,3,3
Niger,Dosso,Dosso Department,584446,2,426645,122734,35067,0,0,35067,1,2,3,3
Niger,Dosso,Falmey,149609,2,104726,38898,5984,0,0,5984,2,2,3,3
Niger,Dosso,Gaya,379035,2,261534,98549,18952,0,0,18952,2,2,3,4
Niger,Dosso,Loga,254309,3,94094,104267,53405,2543,0,55948,3,3,3,3
Niger,Dosso,Tibiri,391172,2,258174,117352,15647,0,0,15647,2,1,3,3
Niger,Dosso,Ville De Dosso,129126,2,92971,29699,6456,0,0,6456,2,1,3,3
Niger,Maradi,Aguie,370006,2,284905,70301,14800,0,0,14800,2,2,3,3
Niger,Maradi,Bermo,78626,3,26733,28305,21229,2359,0,23588,3,3,3,3
Niger,Maradi,Dakoro,948225,3,493077,227574,218092,9482,0,227574,3,3,3,3
Niger,Maradi,Gazaoua,241464,2,166610,65195,9659,0,0,9659,2,2,2,3
Niger,Maradi,Guidan Roumdji_inaccessible_nov2021,160944,3,64377,57940,35408,3219,0,38626,3,3,4,4
Niger,Maradi,Guidan Roumdji_accessible_nov2021,626786,2,438750,150429,37607,0,0,37607,2,2,3,4
Niger,Maradi,Madarounfa_inaccessible_nov2021,196722,3,78689,68853,45246,3934,0,49181,3,2,4,4
Niger,Maradi,Madarounfa_accessible_nov2021,478419,2,377951,81331,19137,0,0,19137,2,2,3,4
Niger,Maradi,Mayahi,838071,2,653695,159233,25142,0,0,25142,2,2,3,3
Niger,Maradi,Tessaoua,775900,2,543130,193975,38795,0,0,38795,2,2,3,3
Niger,Maradi,Ville De Maradi,401973,1,333637,56276,12059,0,0,12059,1,1,3,4
Niger,Niamey,Ville De Niamey,1400682,2,980478,266130,154075,0,0,154075,3,2,2,2
Niger,Tahoua,Abalak,365646,2,244983,91412,29252,0,0,29252,2,3,3,2
Niger,Tahoua,Bagaroua,103135,3,25784,41254,31972,4125,0,36097,3,3,3,2
Niger,Tahoua,Birni N'konni,446372,2,303533,111593,31246,0,0,31246,2,1,3,1
Niger,Tahoua,Bouza,635367,3,190610,254147,158842,31768,0,190610,2,3,3,4
Niger,Tahoua,Illela,480233,2,240116,168082,72035,0,0,72035,2,2,3,1
Niger,Tahoua,Keita,480913,3,226029,129847,110610,14427,0,125037,3,3,3,3
Niger,Tahoua,Madaoua,778280,2,443619,249050,85611,0,0,85611,2,3,3,3
Niger,Tahoua,Malbaza,331558,2,205566,92836,26525,6631,0,33156,2,2,3,4
Niger,Tahoua,Tahoua,616051,3,215618,215618,154013,30803,0,184815,3,3,3,2
Niger,Tahoua,Tassara,34891,3,8723,17097,8025,1047,0,9072,3,3,3,3
Niger,Tahoua,Tchintabaraden,206984,2,120051,53816,26908,6210,0,33117,2,3,3,2
Niger,Tahoua,Tillia,55630,3,22808,19470,11682,1669,0,13351,3,3,3,3
Niger,Tahoua,Ville De Tahoua,213278,2,106639,74647,27726,4266,0,31992,2,2,3,1
Niger,Tillaberi,Abala,209482,3,62845,83793,52371,10474,0,62845,3,4,3,3
Niger,Tillaberi,Ayerou,82799,3,9936,48023,22356,2484,0,24840,3,3,3,3
Niger,Tillaberi,Balleyara,155542,3,49773,66883,35775,3111,0,38885,3,2,3,3
Niger,Tillaberi,Banibangou,97199,3,12636,43740,34992,5832,0,40824,3,2,3,3
Niger,Tillaberi,Bankilare,123251,3,48068,35743,33278,6163,0,39440,3,3,3,3
Niger,Tillaberi,Filingue,445318,3,213753,111329,111329,8906,0,120236,3,2,3,3
Niger,Tillaberi,Gotheye,349957,3,122485,146982,80490,0,0,80490,3,3,3,3
Niger,Tillaberi,Kollo,675686,2,324329,256761,94596,0,0,94596,2,2,3,3
Niger,Tillaberi,Ouallam_accessible_nov2021,293916,3,64661,82296,126384,20574,0,146958,3,4,3,3
Niger,Tillaberi,Ouallam_inaccessible_nov2021,181162,3,9058,59783,81523,30798,0,112321,3,3,3,3
Niger,Tillaberi,Say,254980,3,104542,86693,58645,5100,0,63745,3,3,3,3
Niger,Tillaberi,Tera_accessible_nov2021,370632,2,192728,118602,59301,0,0,59301,1,2,3,3
Niger,Tillaberi,Tera_inaccessible_nov2021,117488,3,23498,46995,37596,9399,0,46995,2,3,3,3
Niger,Tillaberi,Tillaberi_inaccessible_nov2021,25156,3,5283,9308,7547,3019,0,10565,3,4,3,3
Niger,Tillaberi,Tillaberi_accessible_nov2021,260858,3,73040,104343,70432,13043,0,83475,3,3,3,3
Niger,Tillaberi,Torodi,265125,3,31815,119306,92794,21210,0,114004,3,3,3,3
Niger,Tillaberi,Ville De Tillaberi,69221,3,15921,27688,20766,4845,0,25612,3,3,3,3
Niger,Zinder,Belbedji,143351,2,73109,57340,12902,0,0,12902,2,2,3,4
Niger,Zinder,Damagaram Takaya,358436,2,243736,75272,39428,0,0,39428,2,2,3,4
Niger,Zinder,Dungass,525933,2,368153,120964,36815,0,0,36815,2,2,3,4
Niger,Zinder,Goure,487217,2,341052,102316,43850,0,0,43850,2,2,3,4
Niger,Zinder,Kantche,593280,2,385632,177984,29664,0,0,29664,2,2,3,4
Niger,Zinder,Magaria,858667,2,566720,240427,51520,0,0,51520,2,2,3,4
Niger,Zinder,Mirriah,754267,2,475188,226280,52799,0,0,52799,2,2,3,4
Niger,Zinder,Takeita,366832,2,267787,77035,22010,0,0,22010,2,2,3,4
Niger,Zinder,Tanout,637821,2,452853,133942,51026,0,0,51026,2,2,3,4
Niger,Zinder,Tesker,55187,2,38079,13245,3863,0,0,3863,2,2,3,4
Niger,Zinder,Ville De Zinder,479960,2,326373,139188,14399,0,0,14399,2,2,3,4
