adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Nigeria,Adamawa,Demsa,279239,2,111696,139620,27924,0,0,27924,2,3,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Fufore,327842,2,180313,98353,49176,0,0,49176,2,3,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Ganye,265999,2,146299,79800,39900,0,0,39900,2,2,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Girei,208246,2,95793,83298,29154,0,0,29154,2,3,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Gombi,231313,2,90212,104091,37010,0,0,37010,2,2,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Guyuk,276262,2,96692,132606,46965,0,0,46965,2,2,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Hong,264802,2,119161,105921,39720,0,0,39720,2,2,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Jada,263647,2,166098,71185,26365,0,0,26365,2,2,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Lamurde,174132,2,95773,53981,24378,0,0,24378,2,2,1,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Madagali,211521,3,90954,67687,42304,10576,0,52880,2,2,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Maiha,172444,2,139680,27591,5173,0,0,5173,2,2,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Mayo-Belwa,239164,2,124365,81316,33483,0,0,33483,2,3,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Michika,242975,2,121488,77752,43736,0,0,43736,2,2,2,NA,1.1,34.1,64.7,1,79.4,16.4,3.1,0.9,0.2,2,NA,NA,NA,NA,NA,NA,20.4,60.5,5.3,13.7,2,21.1,71,8,2
Nigeria,Adamawa,Mubi North,237148,2,154146,61658,21343,0,0,21343,2,2,2,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Mubi South,203404,2,136281,50851,16272,0,0,16272,2,2,2,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Numan,143291,2,70213,51585,21494,0,0,21494,2,2,1,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Shelleng,232413,2,125503,76696,30214,0,0,30214,2,2,1,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Song,305504,2,97761,161917,45826,0,0,45826,2,2,2,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Toungo,81669,2,41651,28584,11434,0,0,11434,2,3,1,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Yola North,312525,1,256271,46879,9376,0,0,9376,1,3,1,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Adamawa,Yola South,307083,2,184250,76771,46062,0,0,46062,2,3,1,NA,2.4,43.4,54.2,1,65.8,25.4,7.5,0.9,0.4,2,NA,NA,NA,NA,NA,NA,39.7,50.9,2.9,6.6,2,27.6,58.1,14.3,2
Nigeria,Bauchi,Alkaleri,526069,1,441898,73650,10521,0,0,10521,1,NA,NA,NA,0,25,75,1,94,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1
Nigeria,Bauchi,Bauchi,788583,1,670296,102516,15772,0,0,15772,1,NA,NA,NA,0,25,75,1,94,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1
Nigeria,Bauchi,Bogoro,134486,1,114313,17483,2690,0,0,2690,1,NA,NA,NA,0,25,75,1,94,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1
Nigeria,Bauchi,Damban,241013,2,156658,60253,24101,0,0,24101,2,NA,NA,NA,13,44,43,3,60,27,4,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,11,0,1
Nigeria,Bauchi,Darazo,401784,1,337499,52232,12054,0,0,12054,1,NA,NA,NA,13,44,43,3,60,27,4,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,11,0,1
Nigeria,Bauchi,Dass,143633,1,120652,20109,2873,0,0,2873,1,NA,NA,NA,0,25,75,1,94,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1
Nigeria,Bauchi,Gamawa,457343,1,384168,64028,9147,0,0,9147,1,NA,NA,NA,3,38,59,1,84,14,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,12,0,1
Nigeria,Bauchi,Ganjuwa,447889,1,376227,62705,8958,0,0,8958,1,NA,NA,NA,13,44,43,3,60,27,4,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,11,0,1
Nigeria,Bauchi,Giade,250669,1,210562,35094,5013,0,0,5013,1,NA,NA,NA,3,38,59,1,84,14,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,12,0,1
Nigeria,Bauchi,Itasgadau,367289,1,308523,55093,3673,0,0,3673,1,NA,NA,NA,3,38,59,1,84,14,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,12,0,1
Nigeria,Bauchi,Jama'are,188252,2,107303,56475,24473,0,0,24473,2,NA,NA,NA,3,38,59,1,84,14,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,12,0,1
Nigeria,Bauchi,Katagum,472645,1,397022,66170,9453,0,0,9453,1,NA,NA,NA,3,38,59,1,84,14,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,12,0,1
Nigeria,Bauchi,Kirfi,235737,1,200376,30646,4715,0,0,4715,1,NA,NA,NA,0,25,75,1,94,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1
