adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Nigeria,Adamawa,Demsa,279239,2,83772,153581,41886,0,0,41886,2,3,2,NA
Nigeria,Adamawa,Fufore,327842,2,137694,131137,59012,0,0,59012,2,3,2,NA
Nigeria,Adamawa,Ganye,265999,2,127680,93100,45220,0,0,45220,2,2,2,NA
Nigeria,Adamawa,Girei,208246,2,77051,93711,37484,0,0,37484,2,3,2,NA
Nigeria,Adamawa,Gombi,231313,2,74020,115657,41636,0,0,41636,2,2,3,NA
Nigeria,Adamawa,Guyuk,276262,2,69066,154707,52490,0,0,52490,2,2,2,NA
Nigeria,Adamawa,Hong,264802,2,71497,145641,47664,0,0,47664,2,2,3,NA
Nigeria,Adamawa,Jada,263647,2,118641,89640,55366,0,0,55366,2,2,2,NA
Nigeria,Adamawa,Lamurde,174132,2,78359,62688,33085,0,0,33085,2,2,2,NA
Nigeria,Adamawa,Madagali,211521,4,46535,88839,57111,19037,0,76148,3,3,3,NA
Nigeria,Adamawa,Maiha,172444,2,98293,55182,18969,0,0,18969,2,2,3,NA
Nigeria,Adamawa,Mayo-Belwa,239164,3,90882,95666,52616,0,0,52616,2,3,3,NA
Nigeria,Adamawa,Michika,242975,3,77752,104479,60744,0,0,60744,3,2,3,NA
Nigeria,Adamawa,Mubi North,237148,2,142289,66401,28458,0,0,28458,2,2,3,NA
Nigeria,Adamawa,Mubi South,203404,2,130179,52885,20340,0,0,20340,2,2,3,NA
Nigeria,Adamawa,Numan,143291,2,57316,60182,25792,0,0,25792,3,2,2,NA
Nigeria,Adamawa,Shelleng,232413,2,85993,104586,41834,0,0,41834,2,2,2,NA
Nigeria,Adamawa,Song,305504,2,100816,168027,36660,0,0,36660,2,2,2,NA
Nigeria,Adamawa,Toungo,81669,2,27767,38384,15517,0,0,15517,2,3,2,NA
Nigeria,Adamawa,Yola North,312525,2,171889,100008,40628,0,0,40628,2,3,2,NA
Nigeria,Adamawa,Yola South,307083,2,144329,107479,55275,0,0,55275,2,3,2,NA
Nigeria,Bauchi,Alkaleri,526069,1,426116,84171,15782,0,0,15782,1,NA,NA,NA
Nigeria,Bauchi,Bauchi,788583,1,638752,126173,23657,0,0,23657,1,NA,NA,NA
Nigeria,Bauchi,Bogoro,134486,1,110278,18828,5379,0,0,5379,1,NA,NA,NA
Nigeria,Bauchi,Damban,241013,2,108456,96405,36152,0,0,36152,2,NA,NA,NA
Nigeria,Bauchi,Darazo,401784,2,285267,100446,16071,0,0,16071,2,NA,NA,NA
Nigeria,Bauchi,Dass,143633,1,116343,22981,4309,0,0,4309,1,NA,NA,NA
Nigeria,Bauchi,Gamawa,457343,2,274406,146350,36587,0,0,36587,2,NA,NA,NA
Nigeria,Bauchi,Ganjuwa,447889,2,273213,138846,35831,0,0,35831,2,NA,NA,NA
Nigeria,Bauchi,Giade,250669,2,150402,82721,17547,0,0,17547,2,NA,NA,NA
Nigeria,Bauchi,Itasgadau,367289,2,279140,80804,7346,0,0,7346,2,NA,NA,NA
Nigeria,Bauchi,Jama'are,188252,2,69653,84713,33885,0,0,33885,2,NA,NA,NA
Nigeria,Bauchi,Katagum,472645,2,345031,108708,18906,0,0,18906,2,NA,NA,NA
Nigeria,Bauchi,Kirfi,235737,1,190947,35360,9429,0,0,9429,1,NA,NA,NA
Nigeria,Bauchi,Misau,420772,2,231425,147270,42077,0,0,42077,2,NA,NA,NA
Nigeria,Bauchi,Ningi,618321,2,445191,154580,18550,0,0,18550,2,NA,NA,NA
Nigeria,Bauchi,Shira,373705,2,186853,130797,56056,0,0,56056,2,NA,NA,NA
Nigeria,Bauchi,Tafawa-Balewa,351307,1,288072,52696,10539,0,0,10539,1,NA,NA,NA
Nigeria,Bauchi,Toro,559573,1,458850,78340,22383,0,0,22383,1,NA,NA,NA
Nigeria,Bauchi,Warji,183201,2,117248,51296,14656,0,0,14656,2,NA,NA,NA
Nigeria,Bauchi,Zaki,305745,2,128413,128413,48919,0,0,48919,2,NA,NA,NA
Nigeria,Benue,Ushongo,292118,1,236616,43818,11685,0,0,11685,1,3,NA,NA
Nigeria,Benue,Konshisha,344712,1,279217,51707,13788,0,0,13788,1,3,NA,NA
Nigeria,Benue,Vandeikya,357002,1,289172,53550,14280,0,0,14280,1,3,NA,NA
Nigeria,Benue,Katsina-Ala,343158,1,277958,51474,13726,0,0,13726,1,3,NA,NA
