adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Nigeria,Adamawa,Madagali,184648,4,44315.52,36929.6,55394.4,46162,1846.48,103402.88
Nigeria,Adamawa,Michika,212689,3,85075.6,70187.37,31903.35,25522.68,0,57426.03
Nigeria,Adamawa,Mubi North,206896,1,175861.6,28965.44,2068.96,0,0,2068.96
Nigeria,Adamawa,Mubi South,176582,2,127139.04,31784.76,17658.2,0,0,17658.2
Nigeria,Adamawa,Maiha,152311,2,105094.59,30462.2,16754.21,0,0,16754.21
Nigeria,Adamawa,Gombi,200538,2,130349.7,60161.4,10026.9,0,0,10026.9
Nigeria,Adamawa,Hong,231621,2,169083.33,53272.83,9264.84,0,0,9264.84
Nigeria,Adamawa,Song,263902,2,208482.58,50141.38,5278.04,0,0,5278.04
Nigeria,Adamawa,Girei,178031,2,128182.32,32045.58,17803.1,0,0,17803.1
Nigeria,Adamawa,Yola North,271504,3,86881.28,116746.72,59730.88,8145.12,0,67876
Nigeria,Adamawa,Yola South,266519,3,103942.41,106607.6,47973.42,7995.57,0,55968.99
Nigeria,Adamawa,Fufore,283884,2,198718.8,56776.8,28388.4,0,0,28388.4
Nigeria,Adamawa,Guyuk,243480,2,180175.2,41391.6,21913.2,0,0,21913.2
Nigeria,Adamawa,Shelleng,204153,2,157197.81,32664.48,14290.71,0,0,14290.71
Nigeria,Adamawa,Ganye,224721,2,177529.59,33708.15,13483.26,0,0,13483.26
Nigeria,Adamawa,Demsa,246858,3,118491.84,74057.4,46903.02,7405.74,0,54308.76
Nigeria,Adamawa,Lamurde,154486,2,122043.94,24717.76,7724.3,0,0,7724.3
Nigeria,Adamawa,Mayo Belwa,209714,2,163576.92,37748.52,8388.56,0,0,8388.56
Nigeria,Adamawa,Toungo,71270,3,27795.3,28508,13541.3,1425.4,0,14966.7
Nigeria,Adamawa,Numan,124248,2,95670.96,22364.64,6212.4,0,0,6212.4
Nigeria,Adamawa,Jada,230728,2,179967.84,41531.04,9229.12,0,0,9229.12
Nigeria,Bauchi,Central,2112455,1,1816711.3,274619.15,21124.55,0,0,21124.55
Nigeria,Bauchi,Northern,2203556,1,1828951.48,330533.4,44071.12,0,0,44071.12
Nigeria,Bauchi,Southern,2514127,1,2212431.76,301695.24,0,0,0,0
Nigeria,Benue,Central,2152286,1,2044671.7,107614.3,0,0,0,0
Nigeria,Benue,North,2036648,1,1873716.16,162931.84,0,0,0,0
Nigeria,Benue,South,1859353,1,1599043.58,260309.42,0,0,0,0
Nigeria,Borno,Abadam,0,0,0,0,0,0,0,0
Nigeria,Borno,Gubio,187849,2,75139.6,84532.05,28177.35,0,0,28177.35
Nigeria,Borno,Guzamala,0,0,0,0,0,0,0,0
Nigeria,Borno,Kukawa,110854,2,43233.06,53209.92,14411.02,0,0,14411.02
Nigeria,Borno,Magumeri,256733,3,71885.24,77019.9,69317.91,38509.95,0,107827.86
Nigeria,Borno,Marte,0,0,0,0,0,0,0,0
Nigeria,Borno,Mobbar,153834,3,47688.54,49226.88,43073.52,13845.06,0,56918.58
Nigeria,Borno,Nganzai,142322,3,58352.02,42696.6,34157.28,7116.1,0,41273.38
Nigeria,Borno,Mongunu,208815,3,45939.3,48027.45,89790.45,25057.8,0,114848.25
Nigeria,Borno,Dikwa,114802,3,16072.28,39032.68,47068.82,12628.22,0,59697.04
Nigeria,Borno,Jere,607063,3,109271.34,224613.31,206401.42,66776.93,0,273178.35
Nigeria,Borno,Kala Balge,0,0,0,0,0,0,0,0
Nigeria,Borno,Mafa,128654,4,29590.42,38596.2,32163.5,28303.88,0,60467.38
Nigeria,Borno,Maiduguri Mc,1030217,3,309065.1,412086.8,236949.91,72115.19,0,309065.1
Nigeria,Borno,Ngala,101679,3,27453.33,31520.49,32537.28,10167.9,0,42705.18
Nigeria,Borno,Konduga,188117,3,60197.44,56435.1,56435.1,15049.36,0,71484.46
Nigeria,Borno,Bama,182947,3,53054.63,62201.98,51225.16,16465.23,0,67690.39
Nigeria,Borno,Kaga,132650,3,39795,53060,33162.5,6632.5,0,39795
Nigeria,Borno,Askira Uba,256301,2,156343.61,79453.31,20504.08,0,0,20504.08
Nigeria,Borno,Bayo,155884,2,109118.8,42088.68,4676.52,0,0,4676.52
Nigeria,Borno,Biu,272089,2,163253.4,65301.36,43534.24,0,0,43534.24
Nigeria,Borno,Chibok,112815,3,32716.35,42869.7,27075.6,10153.35,0,37228.95
Nigeria,Borno,Damboa,151616,3,31839.36,42452.48,62162.56,15161.6,0,77324.16
Nigeria,Borno,Gwoza,199702,3,55916.56,69895.7,57913.58,15976.16,0,73889.74
Nigeria,Borno,Hawul,243893,2,143896.87,73167.9,26828.23,0,0,26828.23
Nigeria,Borno,Kwaya Kusar,129637,2,84264.05,41483.84,3889.11,0,0,3889.11
Nigeria,Borno,Shani,219859,1,180284.38,39574.62,0,0,0,0
Nigeria,Fct,Fct,3966171,1,3767862.45,198308.55,0,0,0,0
Nigeria,Gombe,Central,859664,1,790890.88,68773.12,0,0,0,0
Nigeria,Gombe,North,1514322,1,1241744.04,272577.96,0,0,0,0
Nigeria,Gombe,South,1037827,1,892531.22,145295.78,0,0,0,0
Nigeria,Jigawa,North East,1651611,1,1519482.12,115612.77,16516.11,0,0,16516.11
Nigeria,Jigawa,North South,1942020,1,1747818,174781.8,19420.2,0,0,19420.2
Nigeria,Jigawa,North West,2188969,1,1991961.79,175117.52,21889.69,0,0,21889.69
Nigeria,Kaduna,Central,3248378,1,2761121.3,487256.7,0,0,0,0
Nigeria,Kaduna,Southern,2609322,1,2113550.82,495771.18,0,0,0,0
Nigeria,Kaduna,Northern,3043252,1,2586764.2,456487.8,0,0,0,0
Nigeria,Kano,Central,6094722,2,4571041.5,1401786.06,121894.44,0,0,121894.44
Nigeria,Kano,Northern,3393541,1,2884509.85,475095.74,33935.41,0,0,33935.41
Nigeria,Kano,Southern,4541484,1,4087335.6,454148.4,0,0,0,0
Nigeria,Katsina,Northern,3241360,1,2755156,421376.8,64827.2,0,0,64827.2
Nigeria,Katsina,Central,2856426,1,2399397.84,399899.64,57128.52,0,0,57128.52
Nigeria,Katsina,Southern,2770184,1,2410060.08,332422.08,27701.84,0,0,27701.84
Nigeria,Kebbi,Central,1731258,1,1610069.94,121188.06,0,0,0,0
Nigeria,Kebbi,Northern,1472557,1,1384203.58,88353.42,0,0,0,0
Nigeria,Kebbi,Southern,1411433,1,1270289.7,127028.97,14114.33,0,0,14114.33
Nigeria,Niger,Southern,1871189,1,1740205.77,130983.23,0,0,0,0
Nigeria,Niger,Eastern,2057135,1,1933706.9,123428.1,0,0,0,0
Nigeria,Niger,Northern,1786664,1,1643730.88,142933.12,0,0,0,0
Nigeria,Plateau State,Northern,1801141,1,1530969.85,252159.74,18011.41,0,0,18011.41
Nigeria,Plateau State,Central,1294769,1,1074658.27,220110.73,0,0,0,0
Nigeria,Plateau State,Southern,1219486,1,1060952.82,158533.18,0,0,0,0
Nigeria,Sokoto,East,2095915,1,1802486.9,251509.8,41918.3,0,0,41918.3
Nigeria,Sokoto,Central,1615197,1,1421373.36,177671.67,16151.97,0,0,16151.97
Nigeria,Sokoto,Southern,1534525,1,1273655.75,214833.5,46035.75,0,0,46035.75
Nigeria,Taraba,Central,1221312,1,1172459.52,48852.48,0,0,0,0
Nigeria,Taraba,Northern,1047612,1,963803.04,83808.96,0,0,0,0
Nigeria,Taraba,Southern,995833,1,936083.02,59749.98,0,0,0,0
Nigeria,Yobe,Bursari,177746.408899506,2,104870.381250708,60433.779025832,12442.2486229654,0,0,12442.2486229654
Nigeria,Yobe,Damaturu,259976.922960916,2,148186.846087722,90991.9230363207,20798.1538368733,0,0,20798.1538368733
Nigeria,Yobe,Geidam,316411.279152497,2,151877.413993198,120236.286077949,44297.5790813496,0,0,44297.5790813496
Nigeria,Yobe,Gujba,229300.640767286,3,94013.2627145873,77962.2178608773,55032.1537841487,2293.00640767286,0,57325.1601918215
Nigeria,Yobe,Gulani,214885.070277039,3,75209.7745969636,81656.3267052747,55870.1182720301,2148.85070277039,0,58018.9689748005
Nigeria,Yobe,Tarmuwa,141201.909943966,2,77661.0504691814,52244.7066792675,11296.1527955173,0,0,11296.1527955173
Nigeria,Yobe,Yunusari,216065.721748535,2,125318.118614151,69141.0309595313,21606.5721748535,0,0,21606.5721748535
Nigeria,Yobe,Bade,204246.327420603,2,122547.796452362,67401.2880487992,14297.2429194422,0,0,14297.2429194422
Nigeria,Yobe,Jakusko,190243.260736817,2,106536.226012617,68487.573865254,15219.4608589453,0,0,15219.4608589453
Nigeria,Yobe,Karasuwa,107949.515434941,2,60451.7286435668,39941.3207109281,7556.46608044585,0,0,7556.46608044585
Nigeria,Yobe,Machina,107783.712413235,2,56047.5304548824,42035.6478411618,9700.53411719119,0,0,9700.53411719119
Nigeria,Yobe,Yusufari,201176.951925472,2,118694.401636029,62364.8550968964,20117.6951925472,0,0,20117.6951925472
Nigeria,Yobe,Nangere,183439.77584467,2,104560.672231462,64203.9215456345,14675.1820675736,0,0,14675.1820675736
Nigeria,Yobe,Fune,329072.095882666,3,121756.675476587,134919.559311893,72395.8610941866,0,0,72395.8610941866
Nigeria,Yobe,Fika,230190.134552371,2,128906.475349328,85170.3497843772,16113.309418666,0,0,16113.309418666
Nigeria,Yobe,Nguru,207626.758090971,2,126652.322435492,68516.8301700205,12457.6054854583,0,0,12457.6054854583
Nigeria,Yobe,Potiskum,749098.545951092,2,501896.025787232,209747.592866306,37454.9272975546,0,0,37454.9272975546
Nigeria,Zamfara,Central Zone,1705999.125856,1,1518339.22201184,170599.9125856,17059.99125856,0,0,17059.99125856
Nigeria,Zamfara,Northern Zone,1276035.332672,1,1161192.15273152,102082.82661376,12760.35332672,0,0,12760.35332672
Nigeria,Zamfara,Western Zone,1670079.988944,1,1553174.38971792,116905.59922608,0,0,0,0
