adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Nigeria,Abia,Bende,1546385,2,881440,494843,170102,0,0,170102,2,3,NA,NA,5.2,16.8,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,28.8,32.8,26,4,23.6,47.6,28.8,3
Nigeria,Abia,Obi Ngwa,1644119,2,887824,559001,197294,0,0,197294,2,3,NA,NA,3.6,14.2,82.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,30.3,33.2,23.7,4,23,44.5,32.5,3
Nigeria,Abia,Umuahia North,1755030,2,912616,614260,228154,0,0,228154,2,3,NA,NA,2,15.6,82.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,27,30.3,33.2,4,25,46.3,28.7,3
Nigeria,Adamawa,Demsa,287337,2,137922,106315,43101,0,0,43101,2,3,2,1,12,76.7,11.3,3,39.3,38.7,21.3,0.7,0,3,0,3.3,81.3,12,3.3,3,0.7,3.3,80.7,15.3,3,3.3,26,70.7,3
Nigeria,Adamawa,Fufore,337349,2,114699,161928,60723,0,0,60723,2,2,2,1,18,66.7,15.3,3,25.3,40,22.7,9.3,2.7,3,16.7,14,69.3,0,0,3,0,0,81.3,18.7,3,0,0.7,99.3,3
Nigeria,Adamawa,Ganye,273713,2,197073,52005,24634,0,0,24634,2,3,2,1,0.7,72.7,26.7,1,74.7,12.7,11.3,1.3,0,2,1.3,12.7,78,6.7,1.3,3,7.3,35.3,48,9.3,3,0.7,14.7,84.7,3
Nigeria,Adamawa,Girei,214285,1,173571,32143,8571,0,0,8571,1,2,2,1,4.7,45.3,50,1,59.3,16,24,0.7,0,3,1.3,22.7,35.3,14,26.7,5,22,20.7,25.3,32,4,0.7,38,61.3,3
Nigeria,Adamawa,Gombi,238021,1,197557,35703,4760,0,0,4760,1,2,1,1,0,22,78,1,80.7,12.7,6.7,0,0,1,12.7,22.7,61.3,3.3,0,3,18,48,30.7,3.3,3,2.7,64.7,32.7,3
Nigeria,Adamawa,Guyuk,284274,2,147822,96653,39798,0,0,39798,2,2,1,1,37.3,34.7,28,4,40,12.7,24,20.7,2.7,4,53.3,33.3,11.3,1.3,0.7,2,8.7,37.3,30.7,23.3,4,0,54.7,45.3,3
Nigeria,Adamawa,Hong,272481,1,223434,35423,13624,0,0,13624,1,2,2,1,25.3,17.3,57.3,4,61.3,20,11.3,7.3,0,2,1.3,3.3,64,14,17.3,4,1.3,30,22.7,46,4,0,42.7,57.3,3
