adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Nigeria,Abia,Bende,1546385,2,804120.2541,541234.7864,201030.0635,0,0,201030.0635,2,3,NA,NA
Nigeria,Abia,Obi Ngwa,1644119,2,805618.4216,608324.1142,230176.6919,0,0,230176.6919,2,3,NA,NA
Nigeria,Abia,Umuahia North,1755030,2,789763.4141,702011.9236,263254.4714,0,0,263254.4714,2,3,NA,NA
Nigeria,Adamawa,Demsa,287337,2,123554.91,114934.8,48847.29,0,0,48847.29,2,3,2,1
Nigeria,Adamawa,Fufore,337349,2,67469.8,205782.89,64096.31,0,0,64096.31,2,3,2,1
Nigeria,Adamawa,Ganye,273713,2,164227.8,68428.25,41056.95,0,0,41056.95,2,3,2,1
Nigeria,Adamawa,Girei,214285,2,107142.5,70714.05,36428.45,0,0,36428.45,2,3,2,1
Nigeria,Adamawa,Gombi,238021,2,188036.59,38083.36,11901.05,0,0,11901.05,2,2,2,1
Nigeria,Adamawa,Guyuk,284274,2,110866.86,119395.08,54012.06,0,0,54012.06,2,3,2,1
Nigeria,Adamawa,Hong,272481,2,130790.88,100817.97,40872.15,0,0,40872.15,2,3,2,1
Nigeria,Adamawa,Jada,271293,3,165488.73,51545.67,54258.6,0,0,54258.6,3,3,2,1
Nigeria,Adamawa,Lamurde,179182,2,60921.88,84215.54,34044.58,0,0,34044.58,2,3,2,2
Nigeria,Adamawa,Madagali,217655,3,69649.6,80532.35,56590.3,10882.75,0,67473.05,3,3,2,1
Nigeria,Adamawa,Maiha,177445,2,58556.85,85173.6,33714.55,0,0,33714.55,3,3,2,1
Nigeria,Adamawa,Mayo-Belwa,246100,3,103362,86135,56603,0,0,56603,3,4,2,1
Nigeria,Adamawa,Michika,250021,3,70005.88,115009.66,65005.46,0,0,65005.46,3,3,2,1
Nigeria,Adamawa,Mubi North,244025,2,165937,53685.5,24402.5,0,0,24402.5,2,3,2,1
Nigeria,Adamawa,Mubi South,209303,2,136046.95,56511.81,16744.24,0,0,16744.24,2,3,2,1
Nigeria,Adamawa,Numan,147446,2,70774.08,58978.4,17693.52,0,0,17693.52,3,2,2,1
Nigeria,Adamawa,Shelleng,239153,2,136317.21,81312.02,21523.77,0,0,21523.77,2,3,2,1
Nigeria,Adamawa,Song,314364,2,69160.08,194905.68,50298.24,0,0,50298.24,2,3,2,1
Nigeria,Adamawa,Toungo,84038,2,52103.56,19328.74,12605.7,0,0,12605.7,2,4,2,1
Nigeria,Adamawa,Yola North,321588,2,102908.16,160794,57885.84,0,0,57885.84,3,3,2,1
Nigeria,Adamawa,Yola South,315988,2,101116.16,157994,56877.84,0,0,56877.84,3,3,2,1
Nigeria,Bauchi,Alkaleri,542073,1,444499.8822,81310.95406,16262.19081,0,0,16262.19081,1,3,NA,NA
Nigeria,Bauchi,Bauchi,815263,2,578836.5504,195663.0593,40763.13735,0,0,40763.13735,2,3,NA,NA
Nigeria,Bauchi,Bogoro,138388,1,113478.2403,20758.21468,4151.642937,0,0,4151.642937,1,3,NA,NA
Nigeria,Bauchi,Damban,248035,2,166183.3512,66969.4102,14882.09116,0,0,14882.09116,2,3,NA,NA
Nigeria,Bauchi,Darazo,412719,2,293030.3616,90798.14022,28890.31734,0,0,28890.31734,2,3,NA,NA
Nigeria,Bauchi,Dass,148799,1,120527.2834,23807.85845,4463.973459,0,0,4463.973459,1,3,NA,NA
Nigeria,Bauchi,Gamawa,469629,2,347525.1108,103318.2762,18785.14112,0,0,18785.14112,2,3,NA,NA
Nigeria,Bauchi,Ganjuwa,459820,1,377052.5725,64374.82945,18392.80841,0,0,18392.80841,1,3,NA,NA
Nigeria,Bauchi,Giade,257629,2,177763.672,61830.84244,18033.99571,0,0,18033.99571,2,3,NA,NA
Nigeria,Bauchi,Itas Gadau,377351,1,305654.3766,52829.15151,18867.55411,0,0,18867.55411,1,3,NA,NA
Nigeria,Bauchi,Jama'are,193990,2,129973.3208,42677.80684,21338.90342,0,0,21338.90342,2,2,NA,NA
Nigeria,Bauchi,Katagum,483844,2,329013.909,125799.4358,29030.63903,0,0,29030.63903,2,2,NA,NA
Nigeria,Bauchi,Kirfi,240479,2,168335.1707,55310.1275,16833.51707,0,0,16833.51707,2,3,NA,NA
Nigeria,Bauchi,Misau,431649,2,310786.9504,94962.67927,25898.91253,0,0,25898.91253,2,2,NA,NA
Nigeria,Bauchi,Ningi,637371,1,516270.1667,95605.58643,25494.82305,0,0,25494.82305,1,2,NA,NA
Nigeria,Bauchi,Shira,386387,2,274334.5026,92732.78961,19319.33117,0,0,19319.33117,2,3,NA,NA
Nigeria,Bauchi,Tafawa-Balewa,365434,1,299655.9958,51160.77978,14617.36565,0,0,14617.36565,1,3,NA,NA
Nigeria,Bauchi,Toro,571326,1,468487.5268,79985.67531,22853.05009,0,0,22853.05009,1,2,NA,NA
Nigeria,Bauchi,Warji,189864,1,153789.518,28479.54037,7594.544099,0,0,7594.544099,1,3,NA,NA
Nigeria,Bauchi,Zaki,313244,1,253727.3591,50118.98452,9397.309597,0,0,9397.309597,1,2,NA,NA
Nigeria,Borno,Askirauba,292209,2,146104.6723,102273.2706,43831.4017,0,0,43831.4017,2,2,2,1
Nigeria,Borno,Bama (Total),207524,3,37354.272,68482.832,66407.59467,31128.56,4150.474667,101686.6293,3,3,3,1
