adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Kolda,Velingara,289381,2,208354.32,57876.2,23150.48,0,0,23150.48
Senegal,Kolda,Kolda,249271,2,184460.54,47361.49,17448.97,0,0,17448.97
Senegal,Kolda,Medina Yoro,134688,2,106403.52,21550.08,6734.4,0,0,6734.4
Senegal,Louga,Louga,387594,3,135657.9,174417.3,62015.04,15503.76,0,77518.8
Senegal,Louga,Linguere,258325,2,206660,36165.5,15499.5,0,0,15499.5
Senegal,Louga,Kebemer,292367,2,233893.6,43855.05,14618.35,0,0,14618.35
Senegal,Saint-Louis,Dagana,266285,1,234330.8,31954.2,0,0,0,0
Senegal,Saint-Louis,Podor,422798,2,334010.42,71875.66,16911.92,0,0,16911.92
Senegal,Saint-Louis,Saint-Louis,301287,1,262119.69,39167.31,0,0,0,0
Senegal,Matam,Ranerou,60924,3,30462,15840.24,12184.8,2436.96,0,14621.76
Senegal,Matam,Matam,300355,2,105124.25,150177.5,45053.25,0,0,45053.25
Senegal,Matam,Kanel,233842,3,137966.78,49106.82,35076.3,11692.1,0,46768.4
Senegal,Kedougou,Kedougou,79532,2,45333.24,26245.56,7953.2,0,0,7953.2
Senegal,Kedougou,Saraya,42582,2,32362.32,8942.22,1277.46,0,0,1277.46
Senegal,Kedougou,Salemata,22914,3,12602.7,4124.52,4582.8,1603.98,0,6186.78
Senegal,Dakar,Rufisque,358669,1,322802.1,35866.9,0,0,0,0
Senegal,Kaffrine,Kaffrine,221120,1,185740.8,30956.8,4422.4,0,0,4422.4
Senegal,Kaffrine,Malem Hodar,102751,1,83228.31,16440.16,3082.53,0,0,3082.53
Senegal,Kaffrine,Birkilane,118703,1,98523.49,17805.45,2374.06,0,0,2374.06
Senegal,Kaffrine,Koungheul,179185,1,148723.55,26877.75,3583.7,0,0,3583.7
Senegal,Kaolack,Kaolack,445706,1,361021.86,71312.96,13371.18,0,0,13371.18
Senegal,Kaolack,Nioro,324952,1,297331.08,25996.16,1624.76,0,0,1624.76
Senegal,Kaolack,Guinguineo,116097,1,102165.36,11609.7,2321.94,0,0,2321.94
Senegal,Fatick,Fatick,391122,2,273785.4,109514.16,7431.318,391.122,0,7822.44
Senegal,Fatick,Gossas,122930,1,105105.15,14751.6,2458.6,614.65,0,3073.25
Senegal,Fatick,Foundioune,324882,2,162441,153344.304,8122.05,974.646,0,9096.696
Senegal,Diourbel,Diourbel,304132,2,197685.8,98538.768,7603.3,304.132,0,7907.432
Senegal,Diourbel,Bambey,353351,2,158301.248,176675.5,17667.55,706.702,0,18374.252
Senegal,Diourbel,Mbacke,864041,2,678272.185,172808.2,12960.615,0,0,12960.615
Senegal,Tamba,Bakel,162408,2,120181.92,34105.68,8120.4,0,0,8120.4
Senegal,Tamba,Goudiry,105756,2,37014.6,50762.88,15863.4,2115.12,0,17978.52
Senegal,Tamba,Koupemtoum,161286,1,130641.66,24192.9,6451.44,0,0,6451.44
Senegal,Tamba,Tambacounda,297333,2,89199.9,160559.82,44599.95,2973.33,0,47573.28
Senegal,Thies,Mbour,655606,1,557265.1,91784.84,6556.06,0,0,6556.06
Senegal,Thies,Thies,669764,1,555904.12,100464.6,13395.28,0,0,13395.28
Senegal,Thies,Tivaouane,514031,2,359821.7,128507.75,25701.55,0,0,25701.55
Senegal,Ziguinchor,Bignona,351693,2,211015.8,105507.9,31652.37,3516.93,0,35169.3
Senegal,Ziguinchor,Oussouye,71616,2,46550.4,20052.48,5013.12,0,0,5013.12
Senegal,Ziguinchor,Ziguinchor,364537,2,251530.53,91134.25,21872.22,0,0,21872.22
Senegal,Sedhiou,Bounkiling,124176,2,73263.84,38494.56,12417.6,0,0,12417.6
Senegal,Sedhiou,Goudomp,170119,2,91864.26,61242.84,15310.71,1701.19,0,17011.9
Senegal,Sedhiou,Sedhiou,186481,2,113753.41,55944.3,16783.29,0,0,16783.29
