adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Senegal,Dakar,Dakar,1438725,2,1093431,330907,14387,0,0,14387,2,2,NA,NA,0,12.6,87.4,1,66.7,10.9,18.8,3.7,0,3,NA,NA,NA,NA,NA,NA,38,62,0,0,2,25.8,70.5,3.7,2
Senegal,Dakar,Guediawaye,413844,1,360044,49661,4138,0,0,4138,1,2,NA,NA,0,3.1,96.9,1,90.3,6.4,2.4,0.9,0,1,NA,NA,NA,NA,NA,NA,16.3,70.4,11.9,1.4,2,49.4,50.6,0,2
Senegal,Dakar,Pikine,1469782,1,1264013,191072,14698,0,0,14698,1,2,NA,NA,2.9,0,97.1,1,100,0,0,0,0,1,NA,NA,NA,NA,NA,NA,19,67.5,12.3,1.1,2,37.1,61.4,1.4,2
Senegal,Dakar,Rufisque,616006,1,548245,61601,6160,0,0,6160,1,2,NA,NA,0,3.2,96.8,1,97.9,1.1,1.1,0,0,1,NA,NA,NA,NA,NA,NA,39.9,57.3,2.7,0,2,63.2,35.8,1.1,2
Senegal,Diourbel,Bambey,383799,1,314715,57570,11514,0,0,11514,1,2,NA,NA,2,46.4,51.7,1,76.1,11.8,6.9,2.9,2.3,2,NA,NA,NA,NA,NA,NA,37.3,49,13.8,0,2,33.9,58.1,8,2
Senegal,Diourbel,Diourbel,343736,1,285301,48123,10312,0,0,10312,1,2,NA,NA,0,8.2,91.8,1,91.8,7.3,0.9,0,0,1,NA,NA,NA,NA,NA,NA,46.7,46.1,6.3,0.9,2,53.5,44.7,1.8,2
Senegal,Diourbel,Mbacke,1191556,1,1036654,142987,11916,0,0,11916,1,2,NA,NA,0,15.3,84.7,1,95.8,2.5,1.7,0,0,1,NA,NA,NA,NA,NA,NA,63.8,36.2,0,0,2,30.5,66.1,3.4,2
Senegal,Fatick,Fatick,442871,1,385298,53145,4429,0,0,4429,1,1,NA,NA,0.9,7.8,91.3,1,96.5,2.6,0.9,0,0,1,NA,NA,NA,NA,NA,NA,58,42,0,0,2,46.1,53.9,0,2
Senegal,Fatick,Foundiougne,364800,1,331968,29184,3648,0,0,3648,1,1,NA,NA,0,2.1,97.9,1,95.5,3.5,1.1,0,0,1,NA,NA,NA,NA,NA,NA,40.8,50.9,7.2,1,2,44.7,55.3,0,2
Senegal,Fatick,Gossas,124955,1,103713,16244,4998,0,0,4998,1,2,NA,NA,0,1.5,98.5,1,93.5,5.8,0.7,0,0,1,NA,NA,NA,NA,NA,NA,23.8,55.9,16.1,4.2,3,39.5,59,1.5,2
