adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Kedougou,Salemata,26920,1,22074.4,4307.2,538.4,0,0,538.4
Senegal,Kedougou,Kedougou,95599,1,81259.15,11471.88,2867.97,0,0,2867.97
Senegal,Kedougou,Saraya,61756,1,50022.36,10498.52,1235.12,0,0,1235.12
Senegal,Ziguinchor,Ziguinchor,299364,1,254459.4,44904.6,0,0,0,0
Senegal,Ziguinchor,Bignona,304535,1,274081.5,30453.5,0,0,0,0
Senegal,Ziguinchor,Oussouye,58280,1,53034.8,5245.2,0,0,0,0
Senegal,Kolda,Kolda,295795,2,227762.15,62116.95,5915.9,0,0,5915.9
Senegal,Kolda,Myf,166042,2,129512.76,31547.98,4981.26,0,0,4981.26
Senegal,Kolda,Velingara,334746,1,297923.94,36822.06,0,0,0,0
Senegal,Sedhiou,Sedhiou,184742,1,155183.28,27711.3,1847.42,0,0,1847.42
Senegal,Sedhiou,Bounkiling,177706,1,159935.4,17770.6,0,0,0,0
Senegal,Sedhiou,Goudomp,190557,1,167690.16,22866.84,0,0,0,0
Senegal,Fatick,Fatick,413302,1,371971.8,37197.18,4133.02,0,0,4133.02
Senegal,Fatick,Foundiougne,340444,1,306399.6,34044.4,0,0,0,0
Senegal,Fatick,Gossas,116612,1,101452.44,13993.44,1166.12,0,0,1166.12
Senegal,Kaffrine,Kaffrine,257696,1,234503.36,20615.68,2576.96,0,0,2576.96
Senegal,Kaffrine,Mbirkilane,125596,1,109268.52,13815.56,2511.92,0,0,2511.92
Senegal,Kaffrine,Koungheul,202803,1,186578.76,14196.21,2028.03,0,0,2028.03
Senegal,Kaffrine,Malem Hoddar,117462,1,105715.8,10571.58,1174.62,0,0,1174.62
Senegal,Tambacounda,Bakel,171521,1,156084.11,12006.47,3430.42,0,0,3430.42
Senegal,Tambacounda,Tambacounda,369510,1,314083.5,40646.1,14780.4,0,0,14780.4
Senegal,Tambacounda,Goudiry,141853,1,123412.11,14185.3,4255.59,0,0,4255.59
Senegal,Tambacounda,Koumpemtoum,158634,1,130079.88,20622.42,7931.7,0,0,7931.7
Senegal,Dakar,Rufisque,583774,1,502045.64,81728.36,0,0,0,0
Senegal,Louga,Kebemer,306043,1,254015.69,52027.31,0,0,0,0
Senegal,Louga,Linguere,285743,2,200020.1,80008.04,5714.86,0,0,5714.86
Senegal,Louga,Louga,440859,1,374730.15,66128.85,0,0,0,0
Senegal,Matam,Matam,342164,2,266887.92,68432.8,6843.28,0,0,6843.28
Senegal,Matam,Kanel,299471,2,233587.38,59894.2,5989.42,0,0,5989.42
Senegal,Matam,Ranerou,64402,2,45725.42,14168.44,4508.14,0,0,4508.14
Senegal,Saint Louis,Dagana,282804,1,243211.44,39592.56,0,0,0,0
Senegal,Saint Louis,Podor,433811,1,368739.35,65071.65,0,0,0,0
Senegal,Saint Louis,Saint Louis,346926,1,305294.88,41631.12,0,0,0,0
Senegal,Diourbel,Diourbel,322762,2,242071.5,74235.26,6455.24,0,0,6455.24
Senegal,Diourbel,Bambey,360380,1,302719.2,54057,3603.8,0,0,3603.8
Senegal,Diourbel,Mbacke,1118849,1,1006964.1,111884.9,0,0,0,0
Senegal,Thies,Mbour,787349,1,645626.18,141722.82,0,0,0,0
Senegal,Thies,Thies,786097,1,668182.45,117914.55,0,0,0,0
Senegal,Thies,Tivaoune,532261,1,447099.24,85161.76,0,0,0,0
Senegal,Kaolack,Kaolack,587730,1,499570.5,88159.5,0,0,0,0
Senegal,Kaolack,Nioro,429198,1,360526.32,68671.68,0,0,0,0
Senegal,Kaolack,Guinfuineo,138506,1,113574.92,24931.08,0,0,0,0
