adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Senegal,Dakar,Dakar,1400974,2,966672.06,364253.24,70048.7,0,0,70048.7
Senegal,Dakar,Guediawaye,413844,1,339352.08,57938.16,16553.76,0,0,16553.76
Senegal,Dakar,Pikine,1431216,2,987539.04,357804,85872.96,0,0,85872.96
Senegal,Dakar,Rufisque,599843,2,449882.25,131965.46,17995.29,0,0,17995.29
Senegal,Diourbel,Bambey,383799,2,287849.25,76759.8,19189.95,0,0,19189.95
Senegal,Diourbel,Diourbel,343736,2,233740.48,85934,24061.52,0,0,24061.52
Senegal,Diourbel,Mbacke,1191556,2,893667,238311.2,59577.8,0,0,59577.8
Senegal,Fatick,Fatick,442871,2,287866.15,124003.88,31000.97,0,0,31000.97
Senegal,Fatick,Foundiougne,364800,1,306432,54720,3648,0,0,3648
Senegal,Fatick,Gossas,124955,2,94965.8,26240.55,3748.65,0,0,3748.65
Senegal,Kaffrine,Mbirkelane,130129,2,59859.34,58558.05,11711.61,0,0,11711.61
Senegal,Kaffrine,Kaffrine,266997,2,202917.72,53399.4,10679.88,0,0,10679.88
Senegal,Kaffrine,Koungheul,210123,1,174402.09,27315.99,8404.92,0,0,8404.92
Senegal,Kaffrine,Malem Hodar,121701,2,94926.78,24340.2,2434.02,0,0,2434.02
Senegal,Kaolack,Guinguineo,147295,2,114890.1,27986.05,4418.85,0,0,4418.85
Senegal,Kaolack,Kaolack,625022,1,562519.8,56251.98,6250.22,0,0,6250.22
Senegal,Kaolack,Nioro Du Rip,456430,1,383401.2,73028.8,0,0,0,0
Senegal,Kedougou,Kedougou,98836,2,69185.2,22732.28,6918.52,0,0,6918.52
Senegal,Kedougou,Salemata,28777,3,12661.88,10071.95,5467.63,575.54,0,6043.17
Senegal,Kedougou,Saraya,66017,3,33008.5,19144.93,12543.23,1320.34,0,13863.57
Senegal,Kolda,Kolda,315018,2,217362.42,81904.68,15750.9,0,0,15750.9
Senegal,Kolda,Medina Yoro Foulah,176832,1,143233.92,26524.8,7073.28,0,0,7073.28
Senegal,Kolda,Velingara,356499,2,253114.29,89124.75,14259.96,0,0,14259.96
Senegal,Louga,Kebemer,314627,2,217092.63,69217.94,28316.43,0,0,28316.43
Senegal,Louga,Linguere,293757,2,229130.46,55813.83,8812.71,0,0,8812.71
Senegal,Louga,Louga,453223,2,344449.48,90644.6,18128.92,0,0,18128.92
Senegal,Matam,Kanel,322609,2,164530.59,119365.33,38713.08,0,0,38713.08
Senegal,Matam,Matam,368601,3,114266.31,129010.35,106894.29,18430.05,0,125324.34
Senegal,Matam,Ranerou,69378,3,25669.86,27751.2,13181.82,2775.12,0,15956.94
Senegal,Saint Louis,Dagana,297973,1,253277.05,38736.49,5959.46,0,0,5959.46
Senegal,Saint Louis,Podor,457079,2,315384.51,114269.75,27424.74,0,0,27424.74
Senegal,Saint Louis,Saint Louis,365534,1,310703.9,54830.1,0,0,0,0
Senegal,Sedhiou,Bounkiling,190227,1,157888.41,30436.32,1902.27,0,0,1902.27
Senegal,Sedhiou,Goudomp,203984,2,126470.08,59155.36,18358.56,0,0,18358.56
Senegal,Sedhiou,Sedhiou,197758,2,138430.6,51417.08,7910.32,0,0,7910.32
Senegal,Tambacounda,Bakel,177766,2,126213.86,39108.52,12443.62,0,0,12443.62
Senegal,Tambacounda,Goudiry,147018,2,113203.86,29403.6,4410.54,0,0,4410.54
Senegal,Tambacounda,Koumpentoum,170418,2,85209,56237.94,28971.06,0,0,28971.06
Senegal,Tambacounda,Tambacounda,396960,2,313598.4,59544,23817.6,0,0,23817.6
Senegal,Thies,Mbour,830495,1,722530.65,107964.35,0,0,0,0
Senegal,Thies,Thies,829174,1,679922.68,140959.58,8291.74,0,0,8291.74
Senegal,Thies,Tivaouane,561428,1,494056.64,67371.36,0,0,0,0
Senegal,Ziguinchor,Bignona,324943,2,181968.08,113730.05,29244.87,0,0,29244.87
Senegal,Ziguinchor,Oussouye,62185,2,48504.3,10571.45,3109.25,0,0,3109.25
Senegal,Ziguinchor,Ziguinchor,309207,1,272102.16,34012.77,3092.07,0,0,3092.07
