adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Senegal,Dakar,Dakar,1476669,1,1299468.72,177200.28,0,0,0,0,1,1,2,NA,1.1,0,98.9,1,95.6,4.4,0,0,0,1,81.4,9.9,5.5,3.3,0,1,80.3,18.6,1.1,0,1,66.1,25.2,8.7,2
Senegal,Dakar,Guediawaye,424759,1,382283.1,42475.9,0,0,0,0,1,2,1,NA,1.7,0.5,97.7,1,92.8,7.2,0,0,0,1,85.9,9.8,3.1,1.2,0,1,73.3,25,1.2,0.5,2,65,28.3,6.7,2
Senegal,Dakar,Pikine,1508545,1,1312434.15,181025.4,15085.45,0,0,15085.45,1,1,1,NA,1,1,98,1,90.5,8.5,1,0,0,1,83.1,12.9,2.5,0.5,1,1,70.1,29.4,0.5,0,2,57.7,31.8,10.4,2
Senegal,Dakar,Rufisque,632252,1,531091.68,94837.8,6322.52,0,0,6322.52,1,1,1,NA,0.8,0.9,98.3,1,94.1,5.9,0,0,0,1,79.7,14.5,3.4,1.5,0.9,2,75.2,24,0.8,0,2,61,32.2,6.8,2
Senegal,Diourbel,Bambey,383798,2,303200.42,69083.64,11513.94,0,0,11513.94,2,3,2,NA,15.6,15,69.4,3,66,17.8,16.2,0,0,2,76.6,3.8,17.3,2.3,0,2,32.8,38.2,17.8,11.1,3,71.4,14,14.6,2
Senegal,Diourbel,Diourbel,354793,2,244807.17,85150.32,24835.51,0,0,24835.51,2,2,1,NA,32.1,4.9,63,4,95.1,4.9,0,0,0,1,49.4,50.6,0,0,0,2,63,25.9,9.9,1.2,2,40.7,58,1.2,2
Senegal,Diourbel,Mbacke,1229884,2,922413,270574.48,36896.52,0,0,36896.52,2,2,2,NA,23.1,11.5,65.4,4,88.5,11.5,0,0,0,1,60.3,38.5,1.3,0,0,2,41,52.6,3.8,2.6,2,26.9,73.1,0,2
Senegal,Fatick,Fatick,458675,1,380700.25,77974.75,0,0,0,0,1,2,2,NA,3.8,14.6,81.5,1,66.1,25.2,8.6,0,0,2,83.5,6.7,9.8,0,0,1,63.9,32.3,1,2.9,2,86.3,12.7,1,1
Senegal,Fatick,Foundiougne,377819,1,336258.91,37781.9,3778.19,0,0,3778.19,1,2,1,NA,2.4,5.9,91.7,1,78.3,18.4,3.3,0,0,2,94.8,2.5,2.7,0,0,1,51.1,32,15.2,1.7,2,92.6,5,2.4,1
Senegal,Fatick,Gossas,129414,1,106119.48,22000.38,1294.14,0,0,1294.14,1,2,1,NA,2.7,8.4,88.9,1,72.1,20.9,7,0,0,2,97.4,2,0.7,0,0,1,50.4,36.6,12.9,0,2,93.3,5.4,1.3,1
