adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Senegal,Dakar,Dakar,1476669,2,1122268.44,324867.18,29533.38,0,0,29533.38,2,2,2,NA
Senegal,Dakar,Guediawaye,424759,1,365292.74,55218.67,4247.59,0,0,4247.59,1,2,1,NA
Senegal,Dakar,Pikine,1508545,1,1267177.8,211196.3,30170.9,0,0,30170.9,1,1,1,NA
Senegal,Dakar,Rufisque,632252,1,512124.12,107482.84,12645.04,0,0,12645.04,1,1,1,NA
Senegal,Diourbel,Bambey,383798,3,195736.98,107463.44,80597.58,0,0,80597.58,3,3,2,NA
Senegal,Diourbel,Diourbel,354793,3,166752.71,106437.9,74506.53,7095.86,0,81602.39,3,3,2,NA
Senegal,Diourbel,Mbacke,1229884,2,799424.6,368965.2,61494.2,0,0,61494.2,2,2,2,NA
Senegal,Fatick,Fatick,458675,2,316485.75,105495.25,36694,0,0,36694,2,2,2,NA
Senegal,Fatick,Foundiougne,377819,2,256916.92,109567.51,11334.57,0,0,11334.57,2,2,2,NA
Senegal,Fatick,Gossas,129414,2,88778.004,36235.92,4400.076,0,0,4400.076,2,2,2,NA
Senegal,Kaffrine,Birkelane,134810,2,98411.3,33702.5,2696.2,0,0,2696.2,2,2,1,NA
Senegal,Kaffrine,Kaffrine,286528,2,186243.2,85958.4,14326.4,0,0,14326.4,1,2,2,NA
Senegal,Kaffrine,Koungheul,217682,1,180676.06,30475.48,6530.46,0,0,6530.46,1,2,1,NA
Senegal,Kaffrine,Malem Hodar,130604,2,91422.8,32651,6530.2,0,0,6530.2,1,2,2,NA
Senegal,Kaolack,Guinguineo,151882,2,92648.02,51639.88,7594.1,0,0,7594.1,2,2,2,NA
Senegal,Kaolack,Kaolack,644488,2,509145.52,109562.96,25779.52,0,0,25779.52,2,2,1,NA
Senegal,Kaolack,Nioro Du Rip,470646,1,385929.72,70596.9,14119.38,0,0,14119.38,1,2,1,NA
Senegal,Kedougou,Kedougou,105689,2,82437.42,19024.02,4227.56,0,0,4227.56,2,2,2,NA
Senegal,Kedougou,Salemata,29761,2,18749.43,8928.3,2083.27,0,0,2083.27,2,2,2,NA
Senegal,Kedougou,Saraya,68273,2,47108.37,18433.71,2730.92,0,0,2730.92,2,2,2,NA
Senegal,Kolda,Kolda,148483,2,114331.91,31181.43,2969.66,0,0,2969.66,2,2,2,NA
Senegal,Kolda,Medina Yoro Foulah,182525,1,153321,23728.25,5475.75,0,0,5475.75,1,1,NA,NA
Senegal,Kolda,Velingara,367977,1,298061.37,55196.55,14719.08,0,0,14719.08,1,1,NA,NA
Senegal,Louga,Kebemer,332412,2,209419.56,93075.36,29917.08,0,0,29917.08,2,2,2,NA
Senegal,Louga,Linguere,310363,2,217254.1,77590.75,15518.15,0,0,15518.15,1,2,2,NA
Senegal,Louga,Louga,478844,2,354344.56,110134.12,14365.32,0,0,14365.32,1,2,NA,NA
Senegal,Matam,Kanel,334753,3,137248.73,127206.14,70298.13,0,0,70298.13,3,3,2,NA
Senegal,Matam,Matam,117879,2,69548.61,37721.28,9430.32,1178.79,0,10609.11,2,3,2,NA
Senegal,Matam,Ranerou,71990,2,33835.3,26636.3,10078.6,1439.8,0,11518.4,2,2,3,NA
Senegal,Saint Louis,Dagana,305811,1,269113.68,30581.1,6116.22,0,0,6116.22,1,1,1,NA
Senegal,Saint Louis,Podor,469102,2,318989.36,131348.56,18764.08,0,0,18764.08,2,2,2,NA
Senegal,Saint Louis,Saint Louis,375149,1,311373.67,56272.35,7502.98,0,0,7502.98,1,2,1,NA
Senegal,Sedhiou,Bounkiling,196873,1,161435.86,29530.95,5906.19,0,0,5906.19,1,2,1,NA
Senegal,Sedhiou,Goudomp,211110,1,177332.4,29555.4,4222.2,0,0,4222.2,1,1,2,NA
Senegal,Sedhiou,Sedhiou,204667,1,165780.27,34793.39,4093.34,0,0,4093.34,1,1,2,NA
Senegal,Tambacounda,Bakel,191020,1,156636.4,30563.2,3820.4,0,0,3820.4,1,2,1,NA
Senegal,Tambacounda,Koumpentoum,176667,2,127200.24,44166.75,5300.01,0,0,5300.01,1,2,2,NA
Senegal,Tambacounda,Tambacounda,396960,1,325507.2,59544,11908.8,0,0,11908.8,1,2,NA,NA
Senegal,Thies,Mbour,852691,1,716260.44,127903.65,8526.91,0,0,8526.91,1,2,1,NA
Senegal,Thies,Thies,851335,2,595934.5,229860.45,25540.05,0,0,25540.05,2,2,1,NA
Senegal,Thies,Tivaouane,576432,1,478438.56,86464.8,11528.64,0,0,11528.64,1,1,2,NA
Senegal,Ziguinchor,Oussouye,64245,1,52680.9,10279.2,1284.9,0,0,1284.9,1,1,2,NA
Senegal,Ziguinchor,Ziguinchor,330003,2,260702.37,62700.57,6600.06,0,0,6600.06,2,2,2,NA
Senegal,Tambacounda,Goudiry,157979,2,99526.77,47393.7,11058.53,0,0,11058.53,3,2,NA,NA
Senegal,Ziguinchor,Bignona,335704,2,218207.6,93997.12,20142.24,3357.04,0,23499.28,2,2,2,NA
