adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Eastern,Kailahun,577439,2,433079,132811,11549,0,0,11549
Sierra Leone,Eastern,Kenema,670314,2,516142,147469,6703,0,0,6703
Sierra Leone,Eastern,Kono,555891,1,472507,83384,0,0,0,0
Sierra Leone,Northern,Bombali,666259,2,519682,133252,13325,0,0,13325
Sierra Leone,Northern,Kambia,377747,2,287088,83104,7555,0,0,7555
Sierra Leone,Northern,Koinadugu,448541,2,354347,89708,4485,0,0,4485
Sierra Leone,Northern,Port Loko,674920,1,566933,107987,0,0,0,0
Sierra Leone,Northern,Tonkolili,583378,2,431700,140011,11668,0,0,11668
Sierra Leone,Southern,Bo,631107,1,517508,113599,0,0,0,0
Sierra Leone,Southern,Bonthe,220623,2,161055,55156,4412,0,0,4412
Sierra Leone,Southern,Moyamba,349586,1,293652,52438,3496,0,0,3496
Sierra Leone,Southern,Pujehun,379825,2,292465,83562,3798,0,0,3798
Sierra Leone,Western  Area Rural,Western Area Rural,486850,1,413823,73028,0,0,0,0
