adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Northern,Bombali,709581,2,283833,319312,106437,0,0,106437
Sierra Leone,Southern,Bonthe,234969,3,70491,105736,54043,4699.382191,0,58742
Sierra Leone,Southern,Bo,672144,2,302465,302465,67214.41622,0,0,67214.41622
Sierra Leone,Eastern,Kailahun,614986,2,239845,276744,92248,6149.862553,0,98398
Sierra Leone,Northern,Kambia,402310,2,160924,201155,40231,0,0,40231
Sierra Leone,Eastern,Kenema,691764,3,117600,345882,207529,20752.92,0,228282
Sierra Leone,Northern,Koinadugu,477707,2,181529,238854,57324.87742,0,0,57324.87742
Sierra Leone,Eastern,Kono,592037,2,207213,296019,88806,0,0,88806
Sierra Leone,Southern,Moyamba,372317,3,37232,201051,104248.7927,29785.36935,0,134034.1621
Sierra Leone,Northern,Port Loko,718806,2,194077,395343,129385,0,0,129385
Sierra Leone,Southern,Pujehun,404523,2,109221,218442,64724,12135.69272,0,76859
Sierra Leone,Northern,Tonkolili,621312,2,229885,310656,80771,0,0,80771
Sierra Leone,Western,Western Area Urban,1229454,2,430309,676200,122945.3947,0,0,122945.3947
Sierra Leone,Western,Western Area Rural,518506,2,347399.3293,155551.9385,15555.19385,0,0,15555.19385
