adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Sierra Leone,Eastern,Kailahun,625500,3,268965,200160,156375,0,0,156375,3,3,2,NA,16.9,47.2,36,3,49.2,19.8,20.5,10,0.4,3,NA,NA,NA,NA,NA,NA,21.1,30.5,35.5,12.8,3,34.4,41.7,23.9,3
Sierra Leone,Eastern,Kenema,685734,3,288008,205720,192006,0,0,192006,3,4,2,NA,45,28.4,26.6,4,26.8,18.3,29.3,17.4,8.2,4,NA,NA,NA,NA,NA,NA,30.2,19.9,29.6,20.3,4,26.3,54.9,18.9,2
Sierra Leone,Northern,Bombali,692843,3,290994,207853,193996,0,0,193996,3,3,1,NA,34.2,27.7,38,4,30.2,18.3,23,19.3,9.1,4,NA,NA,NA,NA,NA,NA,41,16.3,23,19.7,3,12.9,55.7,31.4,3
Sierra Leone,Northern,Kambia,394631,2,236779,118389,39463,0,0,39463,3,3,1,NA,15.2,37.5,47.3,3,50.4,28.3,16.6,4.6,0.1,3,NA,NA,NA,NA,NA,NA,22.5,15.5,47,15.1,3,8.9,57.2,33.9,3
Sierra Leone,Northern,Koinadugu,467616,2,313303,116904,37409,0,0,37409,3,3,1,NA,17.6,39.2,43.1,3,43.9,24.4,19.7,7.3,4.6,3,NA,NA,NA,NA,NA,NA,38.2,20.7,26.8,14.4,3,15.9,59.3,24.8,3
Sierra Leone,Northern,Port Loko,702935,3,330379,196822,175734,0,0,175734,3,4,2,NA,29.3,22.7,48,4,47.3,17.7,15.6,14.6,4.8,3,NA,NA,NA,NA,NA,NA,43.6,13.5,18.4,24.5,4,36.3,43.8,19.9,2
Sierra Leone,Southern,Bonthe,224304,3,98694,71777,53833,0,0,53833,3,4,2,NA,36.6,35.5,27.8,4,29.3,21.4,21.8,24.3,3.2,4,NA,NA,NA,NA,NA,NA,39.7,6.8,23.8,29.7,4,20.3,69.7,10,2
Sierra Leone,Southern,Bo,659706,3,323256,197912,138538,0,0,138538,3,4,1,NA,26.9,27.1,46,4,40.3,17.2,21.9,13.3,7.3,4,NA,NA,NA,NA,NA,NA,32.5,12.9,16.6,38,4,39.2,44.3,16.5,2
Sierra Leone,Southern,Moyamba,365213,3,164346,109564,91303,0,0,91303,3,4,2,NA,24.5,36.8,38.8,4,37.3,25.4,25.9,7.8,3.6,3,NA,NA,NA,NA,NA,NA,12.2,27.9,26.2,33.6,4,26.6,40.7,32.7,3
Sierra Leone,Southern,Pujehun,397170,3,174755,119151,103264,0,0,103264,3,4,2,NA,33,34.7,32.3,4,22.7,31.8,25.6,13.2,6.7,3,NA,NA,NA,NA,NA,NA,21.7,22.5,33.5,22.4,4,10.8,68.6,20.6,3
Sierra Leone,Western,Western Area Urban,1200230,2,828159,300058,72014,0,0,72014,2,3,1,NA,7.6,18.7,73.8,2,74.6,13.6,8.2,2.7,0.9,2,NA,NA,NA,NA,NA,NA,45.4,16.9,30.9,6.8,3,36.5,46.1,17.4,2
Sierra Leone,Eastern,Kono,568249,2,278442,198887,90920,0,0,90920,2,4,1,NA,9.6,51.5,38.9,2,66.4,19.1,10.8,2.6,1,2,NA,NA,NA,NA,NA,NA,29.3,19.2,31.3,20.2,4,17.9,64.3,17.8,2
Sierra Leone,Northern,Tonkolili,607054,2,339950,182116,84988,0,0,84988,2,2,1,NA,22.9,38.5,38.5,4,40.8,25.1,22.7,9.3,2,3,NA,NA,NA,NA,NA,NA,27.1,17.6,36.5,18.7,3,14,68.7,17.3,2
Sierra Leone,Western,Western Area Rural,509133,2,259658,178197,71279,0,0,71279,2,3,1,NA,7.5,28,64.4,2,78.7,11.3,7.4,1.8,0.8,2,NA,NA,NA,NA,NA,NA,43.9,19,24.4,12.6,3,25.9,55.7,18.4,2
