adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Eastern,Kailahun,625500,2,275220,250200,93825,6255,0,100080
Sierra Leone,Eastern,Kenema,685734,2,315438,240007,116575,13715,0,130289
Sierra Leone,Eastern,Kono,569249,2,330164,170775,56925,11385,0,68310
Sierra Leone,Northern,Bombali,692843,2,415706,207853,69284,0,0,69284
Sierra Leone,Northern,Kambia,394631,2,217047,118389,51302,7893,0,59195
Sierra Leone,Northern,Koinadugu,467161,2,341028,102775,23358,0,0,23358
Sierra Leone,Northern,Port Loko,702935,2,316321,316321,70294,0,0,70294
Sierra Leone,Northern,Tonkolili,607054,2,443149,133552,30353,0,0,30353
Sierra Leone,Southern,Bonthe,224394,1,184003,33659,6732,0,0,6732
Sierra Leone,Southern,Bo,659706,1,534362,92359,32985,0,0,32985
Sierra Leone,Southern,Moyamba,365213,2,182607,146085,36521,0,0,36521
Sierra Leone,Southern,Pujehun,397170,2,218444,158868,19859,0,0,19859
Sierra Leone,Western,Western Area Rural,509133,2,259658,188379,61096,0,0,61096
Sierra Leone,Western,Western Area Urban,1200230,2,696133,360069,144028,0,0,144028
