adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Sierra Leone,North-Western,Port Loko,648143,2,343515.79,226850.05,77777.16,0,0,77777.16,2,3,2,NA,56.5,36,7.5,4,64.8,3.9,31.4,0,0,3,21.7,76.4,0.7,1.3,0,2,49,7,10,34,4,36,21.5,42.5,3
Sierra Leone,Eastern,Kailahun,646248,2,355436.4,226186.8,64624.8,0,0,64624.8,2,3,1,NA,32,43.4,24.6,4,48.8,26.3,24.9,0,0,3,22.5,74.6,1.2,1.6,0,2,30.3,14,35.1,20.6,4,10.1,68.4,21.5,3
Sierra Leone,Eastern,Kenema,706554,2,388604.7,226097.28,91852.02,0,0,91852.02,2,3,2,NA,70.9,21.1,7.9,4,43.4,56.6,0,0,0,2,52.3,36,9.2,2.5,0,2,2.2,19.8,17.6,60.4,4,4,70.9,25.1,3
Sierra Leone,Eastern,Kono,587711,2,364380.82,146927.75,76402.43,0,0,76402.43,2,3,1,NA,40.4,53.2,6.4,4,61.5,27.7,11,0,0,2,45.3,43.3,7.3,4.1,0,2,11.3,15.3,20.7,52.7,4,20.2,41.4,38.4,3
Sierra Leone,North-Western,Kambia,407449,2,207798.99,142607.15,57042.86,0,0,57042.86,2,3,2,NA,34.8,41.2,24,4,73.3,6.6,20.1,0,0,3,31.4,51,7,10.5,0,2,21.6,12.7,36.8,28.9,4,10.3,40.2,49.5,3
Sierra Leone,North-Western,Karene,348628,2,184772.84,104588.4,59266.76,0,0,59266.76,2,3,1,NA,50.5,38,11.6,4,40,36.3,23.7,0,0,3,63.9,20.8,5.5,9.8,0,2,27.3,24.5,8.3,39.8,4,25.9,58.3,15.7,2
Sierra Leone,Northern,Bombali,681081,2,354162.12,238378.35,88540.53,0,0,88540.53,2,3,1,NA,23.2,47.4,29.4,4,72.5,5.6,21.9,0,0,3,34.8,64.2,0.8,0.2,0,2,8.5,31.3,23.2,37,4,15.2,26.1,58.8,3
Sierra Leone,Northern,Falaba,248158,2,119115.84,99263.2,29778.96,0,0,29778.96,2,3,1,NA,52.7,44.5,2.7,4,64,31.8,4.3,0,0,2,25,73.3,1.7,0,0,2,8.2,10.5,30.9,50.5,4,1.8,62.3,35.9,3
Sierra Leone,Northern,Koinadugu,239306,2,119653,83757.1,35895.9,0,0,35895.9,2,3,1,NA,36.2,43.1,20.6,4,36.1,49.4,14.6,0,0,2,31.1,65.7,3.2,0,0,2,9.2,15.1,40.8,34.9,4,6.4,73.9,19.7,2
Sierra Leone,Northern,Tonkolili,626767,2,413666.22,150424.08,62676.7,0,0,62676.7,2,3,1,NA,68.2,31.3,0.5,4,53,22.1,24.9,0,0,3,18.7,73.1,4.3,3.9,0,2,9.3,2.3,15.9,72.4,4,15,71,14,2
Sierra Leone,Southern,Bonthe,231321,2,115660.5,92528.4,23132.1,0,0,23132.1,2,2,2,NA,17.1,65.4,17.5,3,63.4,34.2,2.3,0,0,2,59.4,38.1,1.8,0.6,0,2,17.5,33.6,30,18.9,3,19.4,73.7,6.9,2
Sierra Leone,Southern,Bo,681247,2,395123.26,217999.04,68124.7,0,0,68124.7,2,3,1,NA,17.4,48.2,34.4,3,68,14,18,0,0,2,49.5,47.6,2.5,0.4,0,2,18.3,17.9,42.7,21.1,4,6,64.2,29.8,3
Sierra Leone,Southern,Moyamba,377143,2,184800.07,132000.05,60342.88,0,0,60342.88,2,3,1,NA,27.5,58.9,13.5,4,67.2,28.6,4.1,0,0,2,19.5,54.5,10.4,15.7,0,3,6.3,31.9,28.5,33.3,4,21.3,56,22.7,3
Sierra Leone,Southern,Pujehun,410138,2,184562.1,184562.1,41013.8,0,0,41013.8,2,2,2,NA,36.1,43.5,20.4,4,13.9,71.5,14.6,0,0,2,14.6,85.4,0,0,0,2,1.4,50.9,40.7,6.9,3,7.4,49.1,43.5,3
Sierra Leone,Western,Western Area Rural,523838,2,267157.38,183343.3,73337.32,0,0,73337.32,2,3,2,NA,17.1,63,19.9,3,72.7,17.4,9.9,0,0,2,23.5,68,3.2,5.3,0,2,12.5,28.2,38,21.3,4,13,44,43.1,3
Sierra Leone,Western,Western Area Urban,1242113,2,708004.41,372633.9,161474.69,0,0,161474.69,2,3,2,NA,19.9,2.9,77.2,2,69.5,21.8,8.7,0,0,2,29.1,70.5,0.4,0,0,2,49,15,31.6,4.4,3,60.2,32.5,7.3,2
