adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Chad,Sila,Abdi,157269,2,105370,40890,7863,3145,0,11009
Chad,Salamat,Aboudeia,95171,2,69475,19034,5710,952,0,6662
Chad,Guera,Abtouyour,246346,2,140417,64050,36952,4927,0,41879
Chad,Ennedi Est,Am Djarass,116849,2,84131,25707,5842,1168,0,7011
Chad,Ouaddai,Assoungha,420299,2,268991,113481,29421,8406,0,37827
Chad,Chari-Baguirmi,Baguirmi,308592,1,259217,49375,0,0,0,0
Chad,Salamat,Bahr Azoum,233576,2,170510,51387,9343,2336,0,11679
Chad,Barh El Gazal,Bahr El Gazal Nord,91069,3,37338,29142,21857,2732,0,24589
Chad,Barh El Gazal,Bahr El Gazal Ouest,79564,3,31826,27847,18300,1591,0,19891
Chad,Barh El Gazal,Bahr El Gazal Sud,207920,3,72772,74851,51980,8317,0,60297
Chad,Moyen Chari,Bahr Koh,451401,2,334037,90280,18056,9028,0,27084
Chad,Mandoul,Bahr Sara,319672,1,271721,44754,3197,0,0,3197
Chad,Guera,Barh Signaka,152400,2,106680,30480,9144,6096,0,15240
Chad,Batha,Batha Est,265364,2,188408,58380,15922,2654,0,18575
Chad,Batha,Batha Ouest,290921,3,142551,87276,49457,11637,0,61093
Chad,Wadi Fira,Biltine,248747,2,191535,52237,4975,0,0,4975
Chad,Borkou,Borkou Yala,37101,3,19293,9275,7420,1113,0,8533
Chad,Borkou,Borkou,100602,3,27163,45271,25151,3018,0,28169
Chad,Chari-Baguirmi,Chari,269131,1,244909,24222,0,0,0,0
Chad,Hajer Lamis,Dababa,336136,2,252102,63866,13445,6723,0,20168
Chad,Hajer Lamis,Dagana,277143,2,199543,60971,11086,5543,0,16629
Chad,Wadi Fira,Dartama,263947,2,171566,79184,13197,0,0,13197
Chad,Sila,Djourouf Al Ahmar,119964,2,91173,21594,5998,1200,0,7198
Chad,Logone Occidental,Dodje,156505,2,114249,37561,4695,0,0,4695
Chad,Ennedi Ouest,Fada,57833,2,37013,16772,2892,1157,0,4048
Chad,Batha,Fitri,162451,2,112091,40613,9747,0,0,9747
Chad,Lac,Fouli,65176,3,26070,19553,14990,4562,0,19553
Chad,Moyen Chari,Grande Sido,157500,1,127575,23625,6300,0,0,6300
Chad,Logone Occidental,Gueni,135393,2,102899,31140,1354,0,0,1354
Chad,Guera,Guera,253745,2,172547,50749,22837,7612,0,30449
Chad,Hajer Lamis,Haraze Al Biar,220819,2,165614,44164,11041,0,0,11041
Chad,Salamat,Haraze Mangueigne,81540,2,50555,22831,6523,1631,0,8154
Chad,Wadi Fira,Iriba,205309,2,143716,51327,10265,0,0,10265
Chad,Mayo Kebbi Est,Kabbia,336716,2,259271,60609,16836,0,0,16836
Chad,Kanem,Kanem,225389,3,112695,58601,47332,6762,0,54093
Chad,Lac,Kaya,57264,3,24051,17179,14316,1718,0,16034
Chad,Sila,Kimiti,450162,2,297107,108039,36013,9003,0,45016
Chad,Logone Oriental,Kouh Est,149130,1,128252,19387,1491,0,0,1491
Chad,Logone Oriental,Kouh Ouest,72858,2,57558,13843,1457,0,0,1457
Chad,Logone Oriental,La Nya Pende,159048,2,120876,33400,4771,0,0,4771
Chad,Logone Oriental,La Nya,207385,2,149317,47699,10369,0,0,10369
Chad,Logone Oriental,La Pende,236101,2,174715,49581,11805,0,0,11805
Chad,Moyen Chari,Lac Iro,256318,2,181986,56390,17942,0,0,17942
Chad,Mayo-Kebbi Ouest,Lac Lere,257243,1,221229,33442,2572,0,0,2572
Chad,Logone Occidental,Lac Wey,487777,2,351199,121944,14633,0,0,14633
Chad,Chari-Baguirmi,Loug-Chari,273395,1,240588,32807,0,0,0,0
Chad,Lac,Mamdi,99347,3,51660,24837,20863,1987,0,22850
Chad,Mandoul,Mandoul Occidental,227629,1,193485,31868,2276,0,0,2276
Chad,Mandoul,Mandoul Oriental,376859,1,312793,60297,3769,0,0,3769
Chad,Guera,Mangalme,139650,2,100548,25137,9776,4190,0,13965
Chad,Mayo-Kebbi Ouest,Mayo-Binder,80784,1,69474,9694,1616,0,0,1616
Chad,Mayo Kebbi Est,Mayo-Boneye,347213,1,281243,59026,6944,0,0,6944
Chad,Mayo-Kebbi Ouest,Mayo-Dallah,492557,1,413748,73884,4926,0,0,4926
Chad,Mayo Kebbi Est,Mayo-Lemie,120733,1,97794,19317,3622,0,0,3622
Chad,Mayo Kebbi Est,Mont Illi,335384,2,261600,63723,10062,0,0,10062
Chad,Logone Oriental,Monts De Lam,322228,2,228782,80557,12889,0,0,12889
Chad,Ennedi Ouest,Mourtcha,31361,2,22266,7840,941,314,0,1254
Chad,Wadi Fira,Megri,30053,3,10218,12322,6612,902,0,7513
Chad,Logone Occidental,Ngourkousso,234212,2,166291,60895,7026,0,0,7026
Chad,Kanem,Nord Kanem,133850,3,54879,38817,34801,5354,0,40155
Chad,Ouaddai,Ouara,483584,2,357852,101553,24179,0,0,24179
Chad,Tandjile,Tandjile Centre,129497,1,117842,11655,0,0,0,0
Chad,Tandjile,Tandjile Est,374680,2,288504,71189,14987,0,0,14987
Chad,Tandjile,Tandjile Ouest,469778,1,385218,70467,14093,0,0,14093
Chad,Tibesti,Tibesti Est,21170,3,11008,5716,3811,635,0,4446
Chad,Tibesti,Tibesti Ouest,16327,3,8653,4082,3102,490,0,3592
Chad,Ennedi Est,Wadi Hawar,41040,2,29549,8208,2873,410,0,3283
Chad,Kanem,Wadi-Bissam,131320,2,91924,24951,11819,2626,0,14445
Chad,Lac,Wayi,247313,3,136022,59355,46989,4946,0,51936
