adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Chad,Barh El Gazal,Bahr El Gazal Nord,94286,2,55629,23572,12257,2829,0,15086,2,2,4,3,8.3,14.9,76.8,2,88.7,7.1,3,1.2,0,1,NA,NA,NA,NA,NA,NA,47,35.1,12.5,5.4,2,31,69,0,2
Chad,Barh El Gazal,Bahr El Gazal Ouest,82375,2,50249,18123,12356,1648,0,14004,2,2,4,3,27.3,37,35.8,4,74.5,15.8,7.3,1.8,0.6,2,NA,NA,NA,NA,NA,NA,78.2,18.8,1.2,1.8,2,35.2,62.4,2.4,2
Chad,Barh El Gazal,Bahr El Gazal Sud,215265,3,118396,49511,43053,4305,0,47358,2,3,4,3,11.8,42.6,45.6,3,83.4,10.7,3.6,2.4,0,1,NA,NA,NA,NA,NA,NA,42.6,23.7,27.8,5.9,3,22.5,72.2,5.3,2
Chad,Batha,Batha Est,274739,2,214296,43958,16484,0,0,16484,2,1,3,2,30.4,48.2,21.4,4,75,19.6,3.6,1.8,0,2,NA,NA,NA,NA,NA,NA,80.4,19.6,0,0,1,75,25,0,2
Chad,Batha,Batha Ouest,301199,2,198791,63252,39156,0,0,39156,2,3,3,2,49,21.7,29.3,4,43.3,22.3,7,3.2,24.2,5,NA,NA,NA,NA,NA,NA,40.8,18.5,25.5,15.3,3,34.4,49.7,15.9,2
Chad,Batha,Fitri,168190,2,104278,37002,23547,3364,0,26910,2,3,3,2,44.4,30.9,24.7,4,38.2,34.3,5.1,0.6,21.9,5,NA,NA,NA,NA,NA,NA,51.1,12.4,32.6,3.9,3,37.1,45.5,17.4,2
Chad,Borkou,Borkou Yala,38412,3,16901,11524,8067,1921,0,9987,2,4,4,4,20.3,15.5,64.2,4,80.4,8.1,6.1,3.4,2,1,NA,NA,NA,NA,NA,NA,14.2,24.3,29.1,32.4,4,73.6,15.5,10.8,2
Chad,Borkou,Borkou,104156,3,43746,32288,22914,5208,0,28122,2,4,4,4,28.3,30.8,40.8,4,70,15,5,7.5,2.5,2,NA,NA,NA,NA,NA,NA,14.2,3.3,52.5,30,4,28.3,52.5,19.2,2
Chad,Chari-Baguirmi,Baguirmi,319494,1,277960,28754,12780,0,0,12780,1,1,2,3,13.2,40.2,46.6,3,92.5,6.9,0.6,0,0,1,NA,NA,NA,NA,NA,NA,85.1,9.8,0.6,4.6,1,99.4,0.6,0,1
Chad,Chari-Baguirmi,Chari,278639,1,231270,41796,5573,0,0,5573,1,2,2,3,1.2,16.5,82.4,1,98.8,1.2,0,0,0,1,NA,NA,NA,NA,NA,NA,68.8,21.8,3.5,5.9,2,26.5,72.9,0.6,2
Chad,Chari-Baguirmi,Loug-Chari,283053,1,251917,22644,8492,0,0,8492,1,1,2,3,3,17.3,79.8,1,95.2,3,1.2,0.6,0,1,NA,NA,NA,NA,NA,NA,85.1,5.4,0.6,8.9,1,84.5,15.5,0,1
Chad,Ennedi Est,Am Djarass,120977,1,99201,18147,3629,0,0,3629,1,2,3,1,11.4,39.1,49.5,3,70.1,18.5,7.6,2.7,1.1,2,NA,NA,NA,NA,NA,NA,63.6,32.1,2.7,1.6,2,78.8,21.2,0,2
Chad,Ennedi Est,Wadi Hawar,42490,1,34842,6374,1275,0,0,1275,1,2,3,1,3.8,35.2,61,1,72,15.9,11.5,0.5,0,2,NA,NA,NA,NA,NA,NA,45.1,46.2,2.7,6,2,80.8,19.2,0,1
Chad,Ennedi Ouest,Fada,59876,3,26345,20957,10778,1796,0,12574,2,3,4,3,17,36.4,46.7,3,75.2,10.9,5.5,5.5,3,2,NA,NA,NA,NA,NA,NA,31.5,21.2,27.3,20,4,56.4,41.8,1.8,2
Chad,Ennedi Ouest,Mourtcha,32469,3,16559,7793,6494,1623,0,8117,3,3,4,3,27.5,8.8,63.8,4,66.2,8.1,1.9,4.4,19.4,4,NA,NA,NA,NA,NA,NA,38.8,12.5,36.9,11.9,3,32.5,65.6,1.9,2
Chad,Guera,Abtouyour,255072,2,198956,43362,12754,0,0,12754,2,2,2,1,22.6,51.8,25.6,4,51.8,32.7,8.3,5.4,1.8,2,NA,NA,NA,NA,NA,NA,82.1,13.1,4.8,0,1,76.8,22.6,0.6,2
Chad,Guera,Barh Signaka,157784,2,123072,25245,9467,0,0,9467,2,2,2,2,8.3,43.5,48.2,2,61.9,16.1,14.9,6.5,0.6,3,NA,NA,NA,NA,NA,NA,77.4,14.3,6.5,1.8,2,78,19,3,2
Chad,Guera,Guera,262709,2,199659,39406,23644,0,0,23644,2,3,2,2,15.6,27.5,56.9,3,82.6,13.8,3,0.6,0,1,NA,NA,NA,NA,NA,NA,61.1,13.2,19.2,6.6,3,64.1,31.1,4.8,2
Chad,Guera,Mangalme,144583,2,106991,27471,10121,0,0,10121,2,3,2,2,12.2,31.7,56.1,3,71.3,19.5,7.3,1.2,0.6,2,NA,NA,NA,NA,NA,NA,58.5,14.6,25,1.8,3,56.1,39.6,4.3,2
Chad,Hajer Lamis,Dababa,348011,2,201846,87003,52202,6960,0,59162,2,3,3,4,10.2,12,77.8,2,97,2.4,0.6,0,0,1,NA,NA,NA,NA,NA,NA,18,33.5,29.9,18.6,3,28.7,68.3,3,2
Chad,Hajer Lamis,Dagana,286934,2,192246,57387,28693,8608,0,37301,2,3,3,4,9.7,20.6,69.7,2,92,6.3,1.7,0,0,1,NA,NA,NA,NA,NA,NA,53.7,9.7,25.1,11.4,3,58.3,41.1,0.6,2
Chad,Hajer Lamis,Haraze Al Biar,228620,1,192041,25148,11431,0,0,11431,1,1,3,4,14.7,27.6,57.6,3,95.9,3.5,0,0.6,0,1,NA,NA,NA,NA,NA,NA,81.8,4.1,6.5,7.6,1,88.2,10.6,1.2,1
Chad,Kanem,Kanem,233351,2,149345,46670,32669,4667,0,37336,2,2,4,3,12.5,44,43.5,3,90.5,7.1,0.6,1.8,0,1,NA,NA,NA,NA,NA,NA,73.8,13.1,8.3,4.8,2,29.8,67.3,3,2
Chad,Kanem,Nord Kanem,138579,2,83147,31873,19401,4157,0,23558,2,2,4,3,23.2,45.8,31,4,75,16.7,6,0.6,1.8,2,NA,NA,NA,NA,NA,NA,72.6,14.3,7.7,5.4,2,36.9,60.7,2.4,2
Chad,Kanem,Wadi-Bissam,135959,2,87014,25832,20394,2719,0,23113,2,2,4,3,48.2,28.2,23.5,4,53.5,11.2,5.3,17.6,12.4,4,NA,NA,NA,NA,NA,NA,84.1,13.5,1.2,1.2,1,67.6,32.4,0,2
