adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Chad,Barh El Gazal,Bahr El Gazal Nord,94286,3,48086,26400,16971,2829,0,19800,3,3,4,3
Chad,Barh El Gazal,Bahr El Gazal Ouest,82375,3,42835,21418,15651,2471,0,18123,3,3,4,3
Chad,Barh El Gazal,Bahr El Gazal Sud,215265,3,101175,55969,49511,8611,0,58122,3,3,4,3
Chad,Batha,Batha Est,274739,2,200559,52200,21979,0,0,21979,2,2,4,2
Chad,Batha,Batha Ouest,301199,3,147588,87348,63252,3012,0,66264,2,3,4,2
Chad,Batha,Fitri,168190,3,74004,50457,38684,5046,0,43729,3,3,4,2
Chad,Borkou,Borkou Yala,38412,3,14212,12292,9603,2305,0,11908,3,3,4,4
Chad,Borkou,Borkou,104156,3,31247,37496,28122,7291,0,35413,3,3,4,4
Chad,Chari-Baguirmi,Baguirmi,319494,1,271570,31949,15975,0,0,15975,1,1,2,3
Chad,Chari-Baguirmi,Chari,278639,2,211766,50155,16718,0,0,16718,1,2,2,3
Chad,Chari-Baguirmi,Loug-Chari,283053,1,232103,36797,14153,0,0,14153,1,1,2,3
Chad,Ennedi Est,Am Djarass,120977,2,78635,36293,6049,0,0,6049,2,2,4,1
Chad,Ennedi Est,Wadi Hawar,42490,2,29318,10623,2549,0,0,2549,2,2,4,1
Chad,Ennedi Ouest,Fada,59876,3,18562,25148,13173,2994,0,16167,3,3,4,3
Chad,Ennedi Ouest,Mourtcha,32469,3,12663,10065,7468,2273,0,9741,3,3,4,3
Chad,Guera,Abtouyour,255072,2,181101,53565,20406,0,0,20406,2,2,3,1
Chad,Guera,Barh Signaka,157784,2,115182,29979,12623,0,0,12623,2,2,3,2
Chad,Guera,Guera,262709,2,183896,47288,31525,0,0,31525,2,3,3,2
Chad,Guera,Mangalme,144583,3,73737,40483,27471,2892,0,30362,2,3,3,2
Chad,Hajer Lamis,Dababa,348011,3,167045,104403,62642,13920,0,76562,2,3,3,4
Chad,Hajer Lamis,Dagana,286934,2,215201,48779,20085,2869,0,22955,1,2,3,4
Chad,Hajer Lamis,Haraze Al Biar,228620,1,185182,27434,16003,0,0,16003,1,1,3,4
Chad,Kanem,Kanem,233351,3,126010,56004,44337,7001,0,51337,3,3,4,3
Chad,Kanem,Nord Kanem,138579,3,72061,36031,24944,5543,0,30487,3,3,4,3
Chad,Kanem,Wadi-Bissam,135959,3,78856,28551,24473,4079,0,28551,3,2,4,3
Chad,Lac,Fouli,59467,3,24976,18435,13677,2379,0,16056,3,3,4,4
Chad,Lac,Kaya,67396,3,29654,20219,14827,2696,0,17523,3,3,4,4
Chad,Lac,Mamdi,212759,3,102124,59573,44679,6383,0,51062,3,3,4,4
Chad,Lac,Wayi,321225,3,154188,83519,67457,16061,0,83519,3,3,4,4
Chad,Logone Occidental,Dodje,162034,1,132868,24305,4861,0,0,4861,1,1,3,1
Chad,Logone Occidental,Gueni,140176,1,116346,21026,2804,0,0,2804,1,1,2,2
Chad,Logone Occidental,Lac Wey,505009,2,252505,176753,60601,15150,0,75751,2,2,2,1
Chad,Logone Occidental,Ngourkousso,242486,2,155191,58197,26673,2425,0,29098,2,3,2,1
