adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Chad,Logone Oriental,Kouh Est,156137,1,126470.97,26543.29,3122.74,0,0,3122.74
Chad,Logone Oriental,Kouh Ouest,76281,1,64838.85,9153.72,2288.43,0,0,2288.43
Chad,Logone Oriental,La Nya Pende,166521,1,141542.85,19982.52,4995.63,0,0,4995.63
Chad,Logone Oriental,La Nya,217129,2,154161.59,36911.93,23884.19,2171.29,0,26055.48
Chad,Logone Oriental,La Pende,247194,2,192811.32,32135.22,19775.52,2471.94,0,22247.46
Chad,Logone Oriental,Monts De Lam,337368,1,283389.12,47231.52,6747.36,0,0,6747.36
Chad,Mandoul,Barh Sara,330418,1,280855.3,39650.16,9912.54,0,0,9912.54
Chad,Mandoul,Mandoul Occidental,235281,1,202341.66,28233.72,4705.62,0,0,4705.62
Chad,Mandoul,Mandoul Oriental,389527,1,346679.03,42847.97,0,0,0,0
Chad,Moyen-Chari,Bahr Koh,473066,1,402106.1,61498.58,9461.32,0,0,9461.32
Chad,Moyen-Chari,Grande Sido,165059,1,146902.51,16505.9,1650.59,0,0,1650.59
Chad,Moyen-Chari,Lac Iro,268620,1,247130.4,21489.6,0,0,0,0
Chad,Logone Occidental,Dodje,163529,1,140634.94,17988.19,4905.87,0,0,4905.87
Chad,Logone Occidental,Gueni,141469,1,117419.27,16976.28,7073.45,0,0,7073.45
Chad,Logone Occidental,Lac Wey,509667,2,402636.93,81546.72,25483.35,0,0,25483.35
Chad,Logone Occidental,Ngourkosso,244723,1,200672.86,34261.22,9788.92,0,0,9788.92
Chad,Mayo Kebbi Est,La Kabbia,347820,1,333907.2,13912.8,0,0,0,0
Chad,Mayo Kebbi Est,Mayo Boneye,358663,1,294103.66,50212.82,14346.52,0,0,14346.52
Chad,Mayo Kebbi Est,Mayo Lemye,124714,1,103512.62,17459.96,3741.42,0,0,3741.42
Chad,Mayo Kebbi Est,Mont Illi,346444,1,294477.4,41573.28,10393.32,0,0,10393.32
Chad,Tandjile,Tandjile Centre,135634,1,115288.9,13563.4,6781.7,0,0,6781.7
Chad,Tandjile,Tandjile Est,392437,1,333571.45,47092.44,11773.11,0,0,11773.11
Chad,Tandjile,Tandjile Ouest,492041,1,432996.08,49204.1,9840.82,0,0,9840.82
Chad,Chari-Baguirmi,Baguirmi,317743,1,279613.84,31774.3,6354.86,0,0,6354.86
Chad,Chari-Baguirmi,Chari,277112,1,252171.92,24940.08,0,0,0,0
Chad,Chari-Baguirmi,Loug Chari,281502,1,247721.76,28150.2,5630.04,0,0,5630.04
Chad,Hadjer-Lamis,Dababa,340628,1,306565.2,27250.24,6812.56,0,0,6812.56
Chad,Hadjer-Lamis,Dagana,280847,1,249953.83,28084.7,2808.47,0,0,2808.47
Chad,Hadjer-Lamis,Haraze Al Biar,223770,1,194679.9,20139.3,8950.8,0,0,8950.8
Chad,Mayo-Kebbi Ouest,Lac Lere,270992,1,246602.72,21679.36,2709.92,0,0,2709.92
