adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Chad,Logone Oriental,Kouh Est,156137,2,115541.38,34350.14,6245.48,0,0,6245.48
Chad,Logone Oriental,Kouh Ouest,76281,2,56447.94,15256.2,4576.86,0,0,4576.86
Chad,Logone Oriental,La Nya Pende,166521,2,121560.33,36634.62,8326.05,0,0,8326.05
Chad,Logone Oriental,La Nya,217129,2,136791.27,49939.67,28226.77,2171.29,0,30398.06
Chad,Logone Oriental,La Pende,247194,2,180451.62,39551.04,24719.4,2471.94,0,27191.34
Chad,Logone Oriental,Monts De Lam,337368,2,256399.68,67473.6,13494.72,0,0,13494.72
Chad,Mandoul,Barh Sara,330418,2,254421.86,59475.24,16520.9,0,0,16520.9
Chad,Mandoul,Mandoul Occidental,235281,2,183519.18,42350.58,9411.24,0,0,9411.24
Chad,Mandoul,Mandoul Oriental,389527,1,319412.14,66219.59,3895.27,0,0,3895.27
Chad,Moyen-Chari,Bahr Koh,473066,1,383183.46,70959.9,18922.64,0,0,18922.64
Chad,Moyen-Chari,Grande Sido,165059,1,138649.56,21457.67,4951.77,0,0,4951.77
Chad,Moyen-Chari,Lac Iro,268620,1,231013.2,32234.4,5372.4,0,0,5372.4
Chad,Logone Occidental,Dodje,163529,2,125917.33,24529.35,13082.32,0,0,13082.32
Chad,Logone Occidental,Gueni,141469,2,108931.13,22635.04,9902.83,0,0,9902.83
Chad,Logone Occidental,Lac Wey,509667,2,377153.58,91740.06,40773.36,0,0,40773.36
Chad,Logone Occidental,Ngourkosso,244723,2,173753.33,48944.6,22025.07,0,0,22025.07
Chad,Mayo Kebbi Est,La Kabbia,347820,1,319994.4,27825.6,0,0,0,0
Chad,Mayo Kebbi Est,Mayo Boneye,358663,2,272583.88,60972.71,25106.41,0,0,25106.41
Chad,Mayo Kebbi Est,Mayo Lemye,124714,2,94782.64,23695.66,6235.7,0,0,6235.7
Chad,Mayo Kebbi Est,Mont Illi,346444,2,266761.88,58895.48,20786.64,0,0,20786.64
Chad,Tandjile,Tandjile Centre,135634,2,100369.16,24414.12,10850.72,0,0,10850.72
Chad,Tandjile,Tandjile Est,392437,2,294327.75,78487.4,19621.85,0,0,19621.85
Chad,Tandjile,Tandjile Ouest,492041,1,403473.62,68885.74,19681.64,0,0,19681.64
Chad,Chari-Baguirmi,Baguirmi,317743,1,266904.12,41306.59,9532.29,0,0,9532.29
Chad,Chari-Baguirmi,Chari,277112,1,235545.2,36024.56,5542.24,0,0,5542.24
Chad,Chari-Baguirmi,Loug Chari,281502,1,230831.64,42225.3,8445.06,0,0,8445.06
Chad,Hadjer-Lamis,Dababa,340628,1,286127.52,40875.36,13625.12,0,0,13625.12
Chad,Hadjer-Lamis,Dagana,280847,1,235911.48,36510.11,8425.41,0,0,8425.41
Chad,Hadjer-Lamis,Haraze Al Biar,223770,1,185729.1,26852.4,11188.5,0,0,11188.5
Chad,Mayo-Kebbi Ouest,Lac Lere,270992,1,238472.96,27099.2,5419.84,0,0,5419.84
Chad,Mayo-Kebbi Ouest,Mayo Dallah,518884,1,430673.72,72643.76,15566.52,0,0,15566.52
Chad,Mayo-Kebbi Ouest,Mayo-Binder,85102,1,76591.8,6808.16,1702.04,0,0,1702.04
Chad,Salamat,Aboudeia,99279,2,69495.3,22834.17,6949.53,0,0,6949.53
Chad,Salamat,Bahr Azoum,279681,2,206963.94,58733.01,13984.05,0,0,13984.05
Chad,Salamat,Haraze Mangueigne,85060,2,64645.6,18713.2,1701.2,0,0,1701.2
Chad,Barh-El-Gazel,Barh-El-Gazel Ouest,84926,2,61995.98,17834.46,5095.56,0,0,5095.56
Chad,Kanem,Kanem,235798,3,117899,66023.44,44801.62,7073.94,0,51875.56
Chad,Kanem,Nord Kanem,140032,3,68615.68,39208.96,29406.72,2800.64,0,32207.36
Chad,Kanem,Wadi Bissam,137385,2,96169.5,30224.7,10990.8,0,0,10990.8
Chad,Lac,Fouli,59434,3,28528.32,16641.52,12481.14,1783.02,0,14264.16
Chad,Lac,Kaya,67358,3,35026.16,16839.5,13471.6,2020.74,0,15492.34
Chad,Lac,Mamdi,212641,3,104194.09,57413.07,46781.02,4252.82,0,51033.84
Chad,Batha,Batha Est,263098,2,194692.52,55250.58,13154.9,0,0,13154.9
Chad,Batha,Batha Ouest,288437,2,196137.16,69224.88,23074.96,0,0,23074.96
Chad,Batha,Fittri,161064,2,107912.88,38655.36,14495.76,0,0,14495.76
Chad,Guera,Abtouyour,204864,2,133161.6,53264.64,18437.76,0,0,18437.76
Chad,Guera,Barh Signaka,126726,1,110251.62,13939.86,2534.52,0,0,2534.52
Chad,Guera,Guera,210998,2,143478.64,46419.56,21099.8,0,0,21099.8
Chad,Guera,Mangalme,116124,2,83609.28,24386.04,8128.68,0,0,8128.68
Chad,Ouaddai,Ouara,508569,2,371255.37,111885.18,25428.45,0,0,25428.45
Chad,Ouaddai,Abdi,165395,2,125700.2,33079,6615.8,0,0,6615.8
Chad,Ouaddai,Assoungha,442014,2,322670.22,92822.94,26520.84,0,0,26520.84
Chad,Sila,Djourf Al Ahmar,121818,1,103545.3,14618.16,3654.54,0,0,3654.54
Chad,Sila,Kimiti,457119,2,315412.11,105137.37,36569.52,0,0,36569.52
Chad,Borkou,Borkou Yala,39441,3,20509.32,9860.25,7888.2,1183.23,0,9071.43
Chad,Borkou,Borkou,106947,3,50265.09,29945.16,23528.34,3208.41,0,26736.75
Chad,Ennedi-Est,Wadi Hawar,30903,2,21941.13,7416.72,1545.15,0,0,1545.15
Chad,Ennedi-Est,Am-Djarass,87988,2,57192.2,25516.52,5279.28,0,0,5279.28
Chad,Ennedi-Ouest,Fada,43549,2,28306.85,10887.25,4354.9,0,0,4354.9
Chad,Tibesti,Tibesti Ouest,17537,3,8943.87,4384.25,3682.77,526.11,0,4208.88
Chad,Wadi Fira,Megri,31898,3,15630.02,8612.46,6698.58,956.94,0,7655.52
Chad,Wadi Fira,Biltine,264020,3,137290.4,66005,52804,7920.6,0,60724.6
Chad,Wadi Fira,Dar Tama,280153,3,142878.03,72839.78,58832.13,5603.06,0,64435.19
Chad,Wadi Fira,Kobe,217915,2,141644.75,56657.9,19612.35,0,0,19612.35
Chad,Barh-El-Gazel,Barh-El-Gazel Nord,97206,3,55407.42,21385.32,18469.14,1944.12,0,20413.26
Chad,Barh-El-Gazel,Barh-El-Gazel Sud,221932,2,157571.72,44386.4,19973.88,0,0,19973.88
Chad,Lac,Wayi,321048,3,160524,83472.48,67420.08,9631.44,0,77051.52
Chad,Tibesti,Tibesti Est,22740,3,10915.2,5912.4,5002.8,909.6,0,5912.4
Chad,Ennedi-Ouest,Mourtcha,23615,2,15349.75,6376.05,1889.2,0,0,1889.2
