adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Chad,Barh El Gazal,Bahr El Gazal Nord,94286.1,2,52800.216,28285.83,12257.193,942.861,0,13200.054,2,2,4,2,3.5,16.7,79.8,1,94.7,2.6,2.6,0,0,1,67.5,8.8,23.7,0,0,3,48.2,37.3,13.2,1.3,2,34.6,35.5,29.8,3
Chad,Barh El Gazal,Bahr El Gazal Ouest,82374.5,2,42834.74,30478.565,8237.45,823.745,0,9061.195,2,2,4,2,10.1,40.4,49.6,3,61.8,19.7,14.9,3.1,0.4,2,71.5,15.4,13.2,0,0,2,63.2,30.7,3.5,2.6,2,54.8,39,6.1,2
Chad,Barh El Gazal,Bahr El Gazal Sud,215265.7,1,176517.874,30137.198,8610.628,0,0,8610.628,1,2,4,2,4.4,9.2,86.4,1,96.5,2.6,0.9,0,0,1,78.1,7.9,13.6,0,0.4,2,47.8,33.8,5.3,13.2,2,39,45.2,15.8,2
Chad,Batha,Batha Est,274738.6,2,211548.722,43958.176,16484.316,2747.386,0,19231.702,2,3,4,2,7.6,31.1,61.3,2,88,7.1,4.9,0,0,1,77.3,4,18.7,0,0,2,69.8,9.8,9.3,11.1,3,78.7,21.3,0,2
Chad,Batha,Batha Ouest,301198.9,2,237947.131,48191.824,15059.945,0,0,15059.945,2,3,4,2,15.4,7,77.5,2,67,11.9,8.4,8.4,4.4,3,62.1,14.5,22.5,0.4,0.4,3,71.4,6.6,19.8,2.2,3,62.1,28.6,9.3,2
Chad,Batha,Fitri,168190.4,2,121097.088,33638.08,13455.232,0,0,13455.232,2,1,4,2,24.3,6.2,69.5,4,56.2,11.5,20.8,7.5,4,3,95.6,0.4,4,0,0,1,100,0,0,0,1,97.8,2.2,0,1
Chad,Borkou,Borkou Yala,38411.6,2,28424.584,6914.088,3072.928,0,0,3072.928,2,1,3,2,28.9,39.2,31.9,4,53,37.9,9.1,0,0,2,96.6,2.2,1.3,0,0,1,94.4,3.9,0.9,0.9,1,96.1,3.9,0,1
Chad,Borkou,Borkou,104156.4,2,73951.044,21872.844,8332.512,0,0,8332.512,1,2,3,2,6.7,24.4,68.9,2,82.9,16.5,0.6,0,0,1,86,11,3,0,0,1,65.2,29.9,0.6,4.3,2,97.6,2.4,0,1
Chad,Chari-Baguirmi,Baguirmi,319493.7,2,236425.338,57508.866,25559.496,0,0,25559.496,2,2,3,2,9.7,20.4,69.9,2,85,12.4,1.3,1.3,0,1,65.9,14.6,19.5,0,0,2,68.1,7.5,11.1,13.3,3,53.5,40.7,5.8,2
Chad,Chari-Baguirmi,Chari,278638.5,2,220124.415,52941.315,5572.77,0,0,5572.77,1,2,2,2,0,6.4,93.6,1,97.1,2,0.5,0.5,0,1,87.7,3.4,8.8,0,0,1,59.3,24.5,9.3,6.9,2,28.9,71.1,0,2
Chad,Chari-Baguirmi,Loug-Chari,283053.4,2,220781.652,53780.146,8491.602,0,0,8491.602,1,2,3,2,1.5,4.4,94.1,1,91.6,3,1.5,2,2,1,84.7,7.9,6.9,0.5,0,1,57.6,22.2,14.8,5.4,3,62.1,36.9,1,2
Chad,Ennedi Est,Am Djarass,42490,2,33142.2,7223.3,2124.5,0,0,2124.5,1,2,3,1,1,16.1,82.8,1,93.2,6.2,0.5,0,0,1,93.8,4.2,2.1,0,0,1,49,40.6,7.3,3.1,2,72.4,27.6,0,2
Chad,Ennedi Est,Wadi Hawar,120977,2,94362.06,21775.86,4839.08,0,0,4839.08,1,2,4,1,1.2,35.3,63.5,1,78.8,20,0.6,0.6,0,2,79.4,10.6,10,0,0,2,21.2,61.2,17.1,0.6,2,64.7,34.1,1.2,2
Chad,Ennedi Ouest,Fada,59876.6,3,32932.13,13771.618,11376.554,1796.298,0,13172.852,2,4,4,2,2.8,11.6,85.6,1,72.9,19.9,6.6,0.6,0,2,45.9,12.7,41.4,0,0,3,41.4,5,5.5,48.1,4,51.9,47,1.1,2
Chad,Ennedi Ouest,Mourtcha,32468.7,3,17533.098,7792.488,6493.74,649.374,0,7143.114,2,4,4,2,3.4,6.2,90.4,1,67.8,14.4,12.3,4.1,1.4,2,60.3,11.6,28.1,0,0,3,59.6,15.1,0.7,24.7,4,79.5,20.5,0,2
Chad,Guera,Abtouyour,255071.2,2,183651.264,51014.24,20405.696,0,0,20405.696,2,2,3,1,15.4,38.2,46.5,3,94.3,5.3,0.4,0,0,1,78.5,18.9,2.2,0.4,0,2,59.6,20.2,19.7,0.4,3,68,14.9,17.1,2
Chad,Guera,Barh Signaka,157783.9,1,129382.798,23667.585,4733.517,0,0,4733.517,1,2,3,1,9.7,20.3,70,2,93.8,5.3,0.4,0.4,0,1,83.7,11.5,4.8,0,0,1,52.9,27.8,14.5,4.8,2,67.8,26.9,5.3,2
Chad,Guera,Guera,262709.6,2,194405.104,44660.632,23643.864,0,0,23643.864,2,3,3,1,1.8,26.9,71.3,1,65.9,18,13.8,2.4,0,2,86.2,12.6,1.2,0,0,1,64.1,12,23.4,0.6,3,95.8,4.2,0,1
Chad,Guera,Mangalme,144583.5,2,109883.46,24579.195,10120.845,0,0,10120.845,2,2,3,1,8.3,39.2,52.5,2,70,14.2,12.1,3.8,0,2,71.7,15.4,12.9,0,0,2,67.5,15.8,14.6,2.1,2,89.2,9.6,1.2,1
Chad,Hajer Lamis,Dababa,348010.6,2,254047.738,66122.014,27840.848,0,0,27840.848,1,3,3,2,2.6,23.7,73.7,1,97.4,2.6,0,0,0,1,97.4,1.3,1.3,0,0,1,40.4,23.1,11.5,25,4,47.4,52.6,0,2
Chad,Hajer Lamis,Dagana,286933.6,2,220938.872,60256.056,5738.672,0,0,5738.672,1,3,3,2,4.8,23.7,71.5,1,92.1,7.9,0,0,0,1,99.1,0.4,0.4,0,0,1,41.7,22.4,13.2,22.8,4,46.1,53.9,0,2
Chad,Hajer Lamis,Haraze Al Biar,228620,2,162320.2,48010.2,18289.6,0,0,18289.6,2,3,4,2,4.6,11.3,84.1,1,92.3,6.7,1,0,0,1,53.8,14.4,31.3,0,0.5,3,38.5,31.8,17.4,12.3,3,43.1,41.5,15.4,2
Chad,Kanem,Kanem,225389.3,3,108186.864,67616.79,45077.86,4507.786,0,49585.646,2,3,4,2,19.7,23.2,57,3,74.6,14,4.8,5.7,0.9,2,84.2,6.1,9.6,0,0,1,39.9,36,17.1,7,3,58.3,41.7,0,2
Chad,Kanem,Nord Kanem,133849.6,3,62909.312,40154.88,30785.408,0,0,30785.408,3,3,3,1,16.2,21.9,61.8,3,71.5,7.9,8.3,5.7,6.6,3,83.3,7.9,8.8,0,0,1,50.4,36.4,10.5,2.6,2,79.4,20.6,0,2
Chad,Kanem,Wadi-Bissam,131320.2,2,69599.706,39396.06,19698.03,2626.404,0,22324.434,2,2,4,2,19.9,34.5,45.6,3,70.4,18.4,6.8,2.9,1.5,2,55.3,6.8,36.9,0.5,0.5,3,50.5,27.2,12.6,9.7,3,39.8,27.7,32.5,3
Chad,Lac,Fouli,59457.8,2,35674.68,14864.45,8918.67,0,0,8918.67,2,3,2,1,8,43.8,48.2,2,96.9,1.8,0.9,0.4,0,1,81.4,4.4,14.2,0,0,1,54.9,21.7,5.3,18.1,3,69,30.1,0.9,2
Chad,Lac,Kaya,67385.6,2,35714.368,20215.68,11455.552,0,0,11455.552,1,2,2,1,0.4,34.8,64.8,1,96,3.1,0.4,0.4,0,1,99.6,0.4,0,0,0,1,57.7,41,0.4,0.9,2,93,7,0,1
Chad,Lac,Mamdi,212726,2,127635.6,53181.5,31908.9,0,0,31908.9,2,3,2,1,22.2,46.3,31.5,4,80.3,7.9,6.9,3.4,1.5,1,51.2,11.8,36,1,0,3,56.2,25.6,13.8,4.4,2,38.4,53.7,7.9,2
Chad,Lac,Wayi,321276.1,2,170276.333,96382.83,54616.937,0,0,54616.937,3,2,2,1,44.5,29.7,25.8,4,52,7.9,10,3.5,26.6,5,67.7,10.5,21.8,0,0,3,59.8,31.4,7.9,0.9,2,53.3,39.7,7,2
Chad,Logone Occidental,Dodje,162034.3,2,118285.039,34027.203,9722.058,0,0,9722.058,2,2,2,3,14,18.8,67.2,3,76.3,12.4,7.5,3.2,0.5,2,67.7,21.5,10.8,0,0,2,71,14.5,8.6,5.9,2,65.6,26.3,8.1,2
Chad,Logone Occidental,Gueni,140176.2,2,99525.102,29437.002,11214.096,0,0,11214.096,2,1,2,3,15.1,26.3,58.5,3,68.3,19.5,8.3,1.5,2.4,2,75.6,18.5,5.9,0,0,2,84.9,10.7,3.4,1,1,71.2,22.4,6.3,2
Chad,Logone Occidental,Lac Wey,505008.5,2,388856.545,85851.445,30300.51,0,0,30300.51,1,2,2,3,3.3,24.5,72.2,1,87.7,9.9,1.9,0,0.5,1,30.7,56.1,13.2,0,0,2,58.5,8.5,26.9,6.1,3,25.9,74.1,0,2
Chad,Logone Occidental,Ngourkousso,242486.2,2,145491.72,72745.86,24248.62,0,0,24248.62,1,2,2,3,3.3,28.4,68.2,1,87.7,6.6,4.7,0.9,0,1,60.7,18.5,20.9,0,0,3,70.6,4.7,14.2,10.4,3,58.8,40.8,0.5,2
Chad,Logone Oriental,Kouh Est,154398.9,1,135871.032,15439.89,3087.978,0,0,3087.978,1,1,2,3,0,7.3,92.7,1,93.6,3.2,2.3,0.9,0,1,90.9,5.9,3.2,0,0,1,75.3,11,9.6,4.1,2,34.2,57.1,8.7,2
Chad,Logone Oriental,Kouh Ouest,75432.3,1,62608.809,9806.199,3017.292,0,0,3017.292,1,1,2,3,1.3,13.4,85.3,1,83.9,8.9,4,2.2,0.9,1,60.7,28.1,9.8,0.9,0.4,2,74.6,11.6,11.2,2.7,2,36.6,52.2,11.2,2
Chad,Logone Oriental,La Nya Pende,164666.7,2,107033.355,41166.675,16466.67,0,0,16466.67,1,2,2,3,2.6,25.2,72.2,1,77,4.8,7,7,4.3,2,19.1,47.8,32.2,0.9,0,3,16.1,20.9,26.1,37,4,29.1,54.8,16.1,2
Chad,Logone Oriental,La Nya,214711.1681,2,167474.7111,38648.01026,8588.446724,0,0,8588.446724,1,2,2,3,7.6,17.8,74.7,2,91.1,5.8,2.7,0.4,0,1,68,23.6,8.4,0,0,2,58.2,13.3,24,4.4,3,66.2,32.9,0.9,2
Chad,Logone Oriental,La Pende,244442.3,2,190664.994,43999.614,9777.692,0,0,9777.692,1,2,2,3,3.1,17.1,79.8,1,87.7,7.5,4.4,0,0.4,1,80.3,8.8,10.5,0,0.4,1,46.5,11.4,28.5,13.6,3,43,53.9,3.1,2
Chad,Logone Oriental,Monts De Lam,333611.2,2,213511.168,86738.912,33361.12,0,0,33361.12,2,3,2,3,8.4,19.9,71.7,2,73.5,10.2,5.3,4.9,6.2,2,28.8,43.4,26.1,1.8,0,3,23,14.6,23.9,38.5,4,31.9,52.2,15.9,2
Chad,Mandoul,Bahr Sara,330965.1,1,294558.939,26477.208,9928.953,0,0,9928.953,1,1,2,1,2.9,10.8,86.3,1,93.6,4.9,1,0.5,0,1,76.5,7.4,16.2,0,0,2,83.3,7.8,7.4,1.5,1,91.2,8.8,0,1
Chad,Mandoul,Mandoul Occidental,235670.4,1,205033.248,25923.744,4713.408,0,0,4713.408,1,1,1,1,4.2,10.4,85.4,1,91.2,5.4,1.7,1.7,0,1,70,10.4,18.8,0.8,0,2,74.2,7.9,10.4,7.5,2,84.2,15.4,0.4,1
Chad,Mandoul,Mandoul Oriental,390172.9,1,331646.965,46820.748,11705.187,0,0,11705.187,1,1,1,1,0.4,3.1,96.5,1,99.6,0.4,0,0,0,1,50.9,32.9,16.2,0,0,2,84.6,13.6,1.8,0,1,55.7,44.3,0,2
Chad,Mayo Kebbi Est,Kabbia,348610.9,1,303291.483,38347.199,6972.218,0,0,6972.218,1,1,3,2,1.5,13.8,84.6,1,93.8,6.2,0,0,0,1,78.5,1.5,20,0,0,3,93.8,0,3.1,3.1,1,70.8,27.7,1.5,2
Chad,Mayo Kebbi Est,Mayo-Boneye,359479,1,305557.15,43137.48,10784.37,0,0,10784.37,1,2,3,1,3.1,9.2,87.8,1,87.8,8.7,2.2,0.9,0.4,1,79.9,12.7,7.4,0,0,2,44.5,34.5,12.2,8.7,3,81.7,15.3,3.1,1
Chad,Mayo Kebbi Est,Mayo-Lemie,124998.3,1,102498.606,13749.813,8749.881,0,0,8749.881,1,2,3,2,1,5.9,93.1,1,95.1,2.9,1.5,0.5,0,1,92.2,4.4,3.4,0,0,1,52.5,39.7,4.4,3.4,2,89.2,10.3,0.5,1
Chad,Mayo Kebbi Est,Mont Illi,347232.2,1,302092.014,38195.542,6944.644,0,0,6944.644,1,1,3,2,1.9,29.5,68.6,1,77.8,8.2,9.7,3.9,0.5,2,92.3,5.8,1.9,0,0,1,96.6,1.9,0,1.4,1,99.5,0.5,0,1
Chad,Mayo-Kebbi Ouest,Lac Lere,266330.8,1,247687.644,18643.156,0,0,0,0,1,1,2,2,0.4,7.9,91.6,1,84.1,13.7,2.2,0,0,1,100,0,0,0,0,1,97.4,2.2,0.4,0,1,92.1,7.9,0,1
