adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Togo,Plateaux,Agou,107700,1,87237,16155,4308,0,0,4308
Togo,Plateaux,Akebou,77400,1,63468,13158,774,0,0,774
Togo,Plateaux,Amou,132800,1,107568,23904,1328,0,0,1328
Togo,Plateaux,Anie,155700,1,140130,15570,0,0,0,0
Togo,Kara,Assoli,64850,2,31128,25940,7782,0,0,7782
Togo,Maritime,Ave,118650,1,104412,14238,0,0,0,0
Togo,Maritime,Bas-Mono,111250,2,68975,38937.5,3337.5,0,0,3337.5
Togo,Kara,Bassar,150000,2,112500,30000,7500,0,0,7500
Togo,Kara,Binah,88650,1,79785,8865,0,0,0,0
Togo,Centrale,Blitta,172650,1,139846.5,24171,8632.5,0,0,8632.5
Togo,Savanes,Cinkasse,97950,2,74442,19590,3918,0,0,3918
Togo,Kara,Dankpen,161300,1,135492,24195,1613,0,0,1613
Togo,Plateaux,Danyi,49250,2,29550,14775,4925,0,0,4925
Togo,Kara,Doufelgou,99750,1,81795,15960,1995,0,0,1995
Togo,Plateaux,Est_mono,151350,2,98377.5,45405,7567.5,0,0,7567.5
Togo,Plateaux,Haho,307850,2,181631.5,101590.5,24628,0,0,24628
Togo,Kara,Keran,116950,3,59644.5,29237.5,25729,2339,0,28068
Togo,Plateaux,Kloto,177600,1,145632,28416,3552,0,0,3552
Togo,Kara,Kozah,287200,2,195296,86160,5744,0,0,5744
Togo,Plateaux,Kpele,95350,1,82954.5,12395.5,0,0,0,0
Togo,Savanes,Kpendjal-Ouest,115200,2,78336,27648,9216,0,0,9216
Togo,Savanes,Kpendjal,75750,1,69690,6060,0,0,0,0
Togo,Maritime,Lacs,218050,1,189703.5,26166,2180.5,0,0,2180.5
Togo,Plateaux,Moyen-Mono,95500,2,60165,23875,11460,0,0,11460
Togo,Centrale,Mo,46400,1,39440,6960,0,0,0,0
Togo,Plateaux,Ogou,246800,2,148080,66636,29616,2468,0,32084
Togo,Savanes,Oti-Sud,119750,2,73047.5,39517.5,7185,0,0,7185
Togo,Savanes,Oti,116150,1,103373.5,11615,1161.5,0,0,1161.5
Togo,Centrale,Sotouboua,153150,1,124051.5,27567,1531.5,0,0,1531.5
Togo,Savanes,Tandjouare,147200,2,95680,36800,14720,0,0,14720
Togo,Centrale,Tchamba,164000,1,136120,27880,0,0,0,0
Togo,Centrale,Tchaoudjo,240650,1,202146,36097.5,2406.5,0,0,2406.5
Togo,Savanes,Tone,356000,2,267000,71200,17800,0,0,17800
Togo,Maritime,Vo,264300,2,153294,105720,5286,0,0,5286
Togo,Plateaux,Wawa,127350,1,104427,17829,5094,0,0,5094
Togo,Maritime,Yoto,207950,2,103975,72782.5,31192.5,0,0,31192.5
Togo,Maritime,Zio,350150,2,227597.5,98042,24510.5,0,0,24510.5
