adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Togo,Maritime,Ave,111600,1,102672,8928,0,0,0,0
Togo,Maritime,Zio,330800,1,307644,23156,0,0,0,0
Togo,Maritime,Yoto,195900,1,176310,19590,0,0,0,0
Togo,Maritime,Vo,248700,1,208908,37305,2487,0,0,2487
Togo,Maritime,Bas - Mono,104900,1,94410,10490,0,0,0,0
Togo,Maritime,Lacs,205100,1,186641,18459,0,0,0,0
Togo,Plateaux,Agou,101200,1,96140,5060,0,0,0,0
Togo,Plateaux,Kloto,166900,1,156886,10014,0,0,0,0
Togo,Plateaux,Kpele,90000,1,86400,3600,0,0,0,0
Togo,Plateaux,Danyi,46300,1,44448,1852,0,0,0,0
Togo,Plateaux,Amou,124800,1,119808,4992,0,0,0,0
Togo,Plateaux,Wawa,120200,1,111786,8414,0,0,0,0
Togo,Plateaux,Akebou,73100,1,70176,2924,0,0,0,0
Togo,Plateaux,Ogou,233200,1,221540,11660,0,0,0,0
Togo,Plateaux,Anie,147400,1,132660,14740,0,0,0,0
Togo,Plateaux,Est -Mono,143500,1,136325,7175,0,0,0,0
Togo,Plateaux,Moyen - Mono,90500,1,85975,4525,0,0,0,0
Togo,Plateaux,Haho,292100,1,277495,14605,0,0,0,0
Togo,Centrale,Blitta,163300,1,150236,13064,0,0,0,0
Togo,Centrale,Sotouboua,144600,1,135924,8676,0,0,0,0
Togo,Centrale,Tchamba,155500,1,139950,15550,0,0,0,0
Togo,Centrale,Tchaoudjo,226700,1,192695,34005,0,0,0,0
Togo,Centrale,Plaine De Mo,44000,1,41800,2200,0,0,0,0
Togo,Kara,Assoli,61100,1,54379,6721,0,0,0,0
Togo,Kara,Bassar,141400,1,131502,9898,0,0,0,0
Togo,Kara,Binah,83500,1,75150,8350,0,0,0,0
Togo,Kara,Dankpen,153300,1,142569,10731,0,0,0,0
Togo,Kara,Kozah,270100,1,229585,40515,0,0,0,0
Togo,Kara,Doufelgou,93700,1,82456,11244,0,0,0,0
Togo,Kara,Keran,110900,1,96483,14417,0,0,0,0
Togo,Savanes,Oti,224300,1,181683,40374,2243,0,0,2243
Togo,Savanes,Kpendjal,182100,1,154785,27315,0,0,0,1
Togo,Savanes,Tandjouare,139300,1,121191,18109,0,0,0,0
Togo,Savanes,Cinkasse,92700,1,83430,9270,0,0,0,0
Togo,Savanes,Tone,337300,1,303570,33730,0,0,0,0
