adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Togo,Plateaux,Agou,107700,1,104469,3231,0,0,0,0
Togo,Plateaux,Akebou,77400,1,75852,1548,0,0,0,0
Togo,Plateaux,Amou,132800,1,127488,5312,0,0,0,0
Togo,Plateaux,Anie,155700,1,149472,6228,0,0,0,0
Togo,Kara,Assoli,64850,1,59014,5837,0,0,0,0
Togo,Maritime,Ave,118650,1,113904,4746,0,0,0,0
Togo,Maritime,Bas-Mono,111250,2,87888,23363,0,0,0,0
Togo,Kara,Bassar,150000,0,142500,7500,0,0,0,0
Togo,Kara,Binah,88650,1,88650,0,0,0,0,0
Togo,Centrale,Blitta,172650,1,165744,6906,0,0,0,0
Togo,Savanes,Cinkasse,97950,1,83258,14693,0,0,0,0
Togo,Kara,Dankpen,161300,1,154848,6452,0,0,0,0
Togo,Plateaux,Danyi,49250,1,47280,1970,0,0,0,0
Togo,Kara,Doufelgou,99750,1,92768,6983,0,0,0,0
Togo,Plateaux,Est-Mono,151350,1,146810,4541,0,0,0,0
Togo,Plateaux,Haho,307850,1,295536,12314,0,0,0,0
Togo,Plateaux,Kloto,177600,1,165168,12432,0,0,0,0
Togo,Kara,Kozah,287200,1,252736,34464,0,0,0,0
Togo,Savane,Kpendjal Ouest,115200,1,101376,13824,0,0,0,0
Togo,Savane,Kpendjal,75750,1,66660,9090,0,0,0,0
Togo,Plateaux,Kpele,95350,1,92490,2861,0,0,0,0
Togo,Kara,Keran,116950,1,106425,10526,0,0,0,0
Togo,Maritime,Lacs,218050,2,178801,39249,0,0,0,0
Togo,Plateaux,Moyen Mono,95500,1,92635,2865,0,0,0,0
Togo,Centrale,Plaine De Mo,46400,1,45472,928,0,0,0,0
Togo,Plateaux,Ogou,246800,1,236928,9872,0,0,0,0
Togo,Savanes,Oti Sud,119750,1,111368,8383,0,0,0,0
Togo,Savanes,Oti,116150,1,106858,9292,0,0,0,0
Togo,Centrale,Sotouboua,153150,1,145493,7658,0,0,0,0
Togo,Savane,Tandjoare,147200,1,117760,29440,0,0,0,0
Togo,Centrale,Tchamba,164000,1,157440,6560,0,0,0,0
Togo,Centrale,Tchaoudjo,240650,1,240650,0,0,0,0,0
Togo,Savanes,Tone,356000,2,277680,74760,3560,0,0,3560
Togo,Maritime,Vo,264300,1,224655,39645,0,0,0,0
Togo,Plateaux,Wawa,127350,1,123530,3821,0,0,0,0
Togo,Maritime,Yoto,207950,1,199632,8318,0,0,0,0
Togo,Maritime,Zio,350150,1,332643,17508,0,0,0,0
