adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Togo,Centrale,Blitta,177553,1,165124,12429,0,0,0,0,1,2,1,NA,0.8,3.9,95.3,1,93,4.7,2.3,0,0,1,NA,NA,NA,NA,NA,NA,62.8,27.9,4.7,4.7,2,53.5,36.4,10.1,2
Togo,Centrale,Plaine De Mo,253809,1,233504,20305,0,0,0,0,1,1,1,NA,0.8,2.3,96.9,1,83.7,7.8,7,0.8,0.8,1,NA,NA,NA,NA,NA,NA,96.1,1.6,0.8,1.6,1,100,0,0,1
Togo,Centrale,Sotouboua,47718,1,42469,4772,477,0,0,477,1,2,1,NA,0,6.7,93.3,1,93.3,4.5,2.2,0,0,1,NA,NA,NA,NA,NA,NA,64.2,32.8,0.7,2.2,2,61.2,33.6,5.2,2
Togo,Centrale,Tchamba,168658,1,143359,23612,1687,0,0,1687,1,1,1,NA,0,10.1,89.9,1,91.7,6.4,1.8,0,0,1,NA,NA,NA,NA,NA,NA,11.9,83.5,2.8,1.8,2,57.8,41.3,0.9,2
Togo,Centrale,Tchaoudjo,247484,1,212836,34648,0,0,0,0,1,1,1,NA,1.6,3.9,94.6,1,91.5,7.8,0.8,0,0,1,NA,NA,NA,NA,NA,NA,32.6,51.2,11.6,4.7,2,66.7,31,2.3,2
Togo,Kara,Assoli,66692,2,49352,16006,1334,0,0,1334,2,2,1,NA,8.6,53.1,38.3,2,57.8,14.8,13.3,8.6,5.5,3,NA,NA,NA,NA,NA,NA,3.1,58.6,32.8,5.5,3,51.6,48.4,0,2
Togo,Kara,Bassar,154260,1,132664,18511,3085,0,0,3085,1,1,1,NA,1.6,10.2,88.3,1,73.4,18,6.2,2.3,0,2,NA,NA,NA,NA,NA,NA,61.7,29.7,7.8,0.8,2,64.1,28.9,7,2
Togo,Kara,Binah,91168,2,69288,20969,912,0,0,912,2,2,1,NA,9.4,46.9,43.8,2,71.9,13.3,10.9,3.9,0,2,NA,NA,NA,NA,NA,NA,83.6,16.4,0,0,1,79.7,20.3,0,2
Togo,Kara,Dankpen,165881,1,137681,24882,3318,0,0,3318,1,1,1,NA,16.3,27.1,56.6,3,79.1,7,8.5,3.9,1.6,2,NA,NA,NA,NA,NA,NA,68.2,20.9,8.5,2.3,2,76.7,20.9,2.3,2
Togo,Kara,Doufelgou,102583,2,77963,19491,5129,0,0,5129,2,1,2,NA,19.4,34.9,45.7,3,61.2,23.3,11.6,3.9,0,2,NA,NA,NA,NA,NA,NA,43.4,49.6,6.2,0.8,2,66.7,31,2.3,2
Togo,Kara,Keran,118472,2,85300,24879,8293,0,0,8293,3,2,1,NA,11.5,34.6,53.8,3,63.1,12.3,12.3,12.3,0,3,NA,NA,NA,NA,NA,NA,24.6,62.3,7.7,5.4,2,10.8,66.9,22.3,3
Togo,Kara,Kozah,182644,2,142462,36529,3653,0,0,3653,2,2,1,NA,11.5,39.2,49.2,3,53.1,27.7,12.3,6.9,0,2,NA,NA,NA,NA,NA,NA,2.3,86.2,5.4,6.2,2,38.5,45.4,16.2,2
Togo,Maritime,Ave,122020,1,100056,18303,3661,0,0,3661,1,2,1,NA,0,13.3,86.7,1,95,5,0,0,0,1,NA,NA,NA,NA,NA,NA,10.8,80.8,5.8,2.5,2,28.3,68.3,3.3,2
Togo,Maritime,Bas-Mono,114410,2,84663,26314,3432,0,0,3432,2,3,1,NA,3.2,31.2,65.6,1,63.2,18.4,8,5.6,4.8,2,NA,NA,NA,NA,NA,NA,36,25.6,36,2.4,3,30.4,56,13.6,2
Togo,Maritime,Lacs,224243,2,154728,51576,17939,0,0,17939,2,3,1,NA,13,28.3,58.7,3,84.8,8.7,2.2,4.3,0,1,NA,NA,NA,NA,NA,NA,34.8,37,15.2,13,3,65.2,30.4,4.3,2
Togo,Maritime,Vo,271806,2,192982,59797,19026,0,0,19026,3,2,1,NA,18.2,29.1,52.7,3,61.8,2.7,3.6,19.1,12.7,4,NA,NA,NA,NA,NA,NA,0,68.2,28.2,3.6,3,20.9,36.4,42.7,3
Togo,Maritime,Yoto,213856,2,160392,47048,6416,0,0,6416,3,2,1,NA,0,27.4,72.6,1,69.2,12.8,6.8,8.5,2.6,2,NA,NA,NA,NA,NA,NA,6,60.7,23.1,10.3,3,5.1,47,47.9,3
Togo,Maritime,Zio,360094,1,291676,57615,10803,0,0,10803,2,1,1,NA,19.5,14.1,66.4,3,76.6,14.8,6.2,2.3,0,2,NA,NA,NA,NA,NA,NA,43.7,53.9,0.8,1.6,2,33.6,51.6,14.8,2
Togo,Plateaux,Agou,110759,1,94145,15506,1108,0,0,1108,1,3,1,NA,2.5,13.1,84.4,1,62.3,20.5,11.5,5.7,0,2,NA,NA,NA,NA,NA,NA,19.7,74.6,2.5,3.3,2,18.9,45.1,36.1,3
Togo,Plateaux,Akebou,79598,1,67658,11144,796,0,0,796,2,1,1,NA,10.6,16.3,73.2,2,72.4,8.9,16.3,1.6,0.8,2,NA,NA,NA,NA,NA,NA,69.9,24.4,3.3,2.4,2,5.7,59.3,35,3
Togo,Plateaux,Amou,136572,2,107892,24583,4097,0,0,4097,2,3,1,NA,2.4,16.5,81.1,1,65.4,14.2,13.4,6.3,0.8,3,NA,NA,NA,NA,NA,NA,33.1,22.8,29.9,14.2,3,20.5,39.4,40.2,3
Togo,Plateaux,Anie,160122,1,139306,16012,4804,0,0,4804,1,2,1,NA,0,12.3,87.7,1,93.1,6.9,0,0,0,1,NA,NA,NA,NA,NA,NA,51.5,14.6,1.5,32.3,4,62.3,6.2,31.5,3
Togo,Plateaux,Danyi,50649,1,41532,7597,1519,0,0,1519,2,1,1,NA,1.6,14.1,84.4,1,75.8,14.1,8.6,1.6,0,2,NA,NA,NA,NA,NA,NA,30.5,63.3,3.1,3.1,2,8.6,53.1,38.3,3
Togo,Plateaux,Est-Mono,155648,1,127631,20234,7782,0,0,7782,1,2,1,NA,1.8,12.6,85.6,1,95.5,2.7,0.9,0,0.9,1,NA,NA,NA,NA,NA,NA,56.8,35.1,3.6,4.5,2,37.8,26.1,36,3
Togo,Plateaux,Haho,316593,1,259606,47489,9498,0,0,9498,1,3,1,NA,0.8,15.4,83.7,1,81.3,13,5.7,0,0,1,NA,NA,NA,NA,NA,NA,4.1,65.9,24.4,5.7,3,10.6,72.4,17.1,2
Togo,Plateaux,Kloto,120271,1,102230,15635,2405,0,0,2405,2,1,1,NA,4.8,27.8,67.5,1,57.1,13.5,12.7,12.7,4,3,NA,NA,NA,NA,NA,NA,75.4,23,0.8,0.8,2,72.2,27,0.8,2
Togo,Plateaux,Kpele,77901,1,63879,11685,2337,0,0,2337,2,1,1,NA,4.7,26.6,68.7,1,75,11.7,9.4,3.1,0.8,2,NA,NA,NA,NA,NA,NA,62.5,25,10.9,1.6,2,57.8,30.5,11.7,2
Togo,Plateaux,Moyen-Mono,98212,1,84462,12768,982,0,0,982,1,3,1,NA,1.4,17.1,81.4,1,88.4,8.7,2.9,0,0,1,NA,NA,NA,NA,NA,NA,21.7,43.5,7.2,27.5,4,17.4,58,24.6,3
Togo,Plateaux,Ogou,119449,1,102726,14334,2389,0,0,2389,1,1,1,NA,0,5.2,94.8,1,84.4,8.1,7.4,0,0,1,NA,NA,NA,NA,NA,NA,12.6,77,10.4,0,2,28.9,33.3,37.8,3
Togo,Plateaux,Wawa,130967,1,111322,15716,3929,0,0,3929,1,1,1,NA,0,3,97,1,56.1,9.8,14.4,19.7,0,3,NA,NA,NA,NA,NA,NA,28.8,61.4,7.6,2.3,2,59.8,25,15.2,2
Togo,Savanes,Cinkasse,100732,2,75549,20146,5037,0,0,5037,3,2,1,NA,33.1,9,57.9,4,32.3,11.3,10.5,38.3,7.5,4,NA,NA,NA,NA,NA,NA,51.9,42.1,5.3,0.8,2,59.4,12.8,27.8,3
Togo,Savanes,Kpendjal-Ouest,295356,2,206749,67932,20675,0,0,20675,3,2,1,NA,30.5,44.3,25.2,4,47.1,25.2,17.7,5.5,4.6,3,NA,NA,NA,NA,NA,NA,28.6,52.3,16.8,2.2,2,54.6,45.4,0,2
Togo,Savanes,Kpendjal,98058,2,70602,21573,5883,0,0,5883,2,2,1,NA,30.5,44.3,25.2,4,47.1,25.2,17.7,5.5,4.6,3,NA,NA,NA,NA,NA,NA,28.6,52.3,16.8,2.2,2,54.6,45.4,0,2
Togo,Savanes,Oti-Sud,123151,2,93595,27093,2463,0,0,2463,2,2,1,NA,0.5,20.8,78.7,1,96.4,3.6,0,0,0,1,NA,NA,NA,NA,NA,NA,41.6,51.3,3,4,2,45.1,23.3,31.5,3
Togo,Savanes,Oti,157499,2,119699,34650,3150,0,0,3150,2,2,1,NA,0.5,20.8,78.7,1,96.4,3.6,0,0,0,1,NA,NA,NA,NA,NA,NA,41.6,51.3,3,4,2,45.1,23.3,31.5,3
Togo,Savanes,Tandjoare,151380,3,75690,42386,31790,1514,0,33304,3,3,1,NA,11.6,41.1,47.3,3,29.5,10.9,35.7,20.2,3.9,4,NA,NA,NA,NA,NA,NA,20.2,54.3,14.7,10.9,3,36.4,58.1,5.4,2
Togo,Savanes,Tone,366110,2,263599,65900,36611,0,0,36611,3,2,1,NA,10.8,44.2,45,3,51.7,16.7,27.5,3.3,0.8,3,NA,NA,NA,NA,NA,NA,5.8,79.2,13.3,1.7,2,32.5,39.2,28.3,3
