adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Togo,Centrale,Blitta,177553,1,161573,15980,0,0,0,0,1,2,1,NA
Togo,Centrale,Plaine De Mo,253809,1,228428,25381,0,0,0,0,1,1,1,NA
Togo,Centrale,Sotouboua,47718,1,41515,5249,954,0,0,954,1,2,1,NA
Togo,Centrale,Tchamba,168658,1,146732,20239,1687,0,0,1687,1,1,1,NA
Togo,Centrale,Tchaoudjo,247484,1,207887,39597,0,0,0,0,1,1,1,NA
Togo,Kara,Assoli,66692,2,47351,17340,2001,0,0,2001,2,2,1,NA
Togo,Kara,Bassar,154260,1,134206,15426,4628,0,0,4628,1,1,1,NA
Togo,Kara,Binah,91168,2,66553,20969,3647,0,0,3647,2,2,1,NA
Togo,Kara,Dankpen,165881,1,144316,19906,1659,0,0,1659,1,1,1,NA
Togo,Kara,Doufelgou,102583,2,74886,21542,6155,0,0,6155,2,2,2,NA
Togo,Kara,Keran,118472,2,79376,27249,11847,0,0,11847,3,2,1,NA
Togo,Kara,Kozah,182644,2,136983,40182,5479,0,0,5479,2,2,1,NA
Togo,Maritime,Ave,122020,1,112258,8541,1220,0,0,1220,1,1,1,NA
Togo,Maritime,Bas-Mono,114410,1,99537,13729,1144,0,0,1144,1,2,1,NA
Togo,Maritime,Lacs,224243,2,168182,44849,11212,0,0,11212,2,2,1,NA
Togo,Maritime,Vo,271806,2,209291,57079,5436,0,0,5436,2,2,1,NA
Togo,Maritime,Yoto,213856,1,175362,36356,2139,0,0,2139,2,1,1,NA
Togo,Maritime,Zio,360094,1,316883,36009,7202,0,0,7202,1,1,1,NA
Togo,Plateaux,Agou,110759,1,94145,16614,0,0,0,0,1,1,1,NA
Togo,Plateaux,Akebou,79598,1,71638,7960,0,0,0,0,1,1,1,NA
Togo,Plateaux,Amou,136572,1,116086,19120,1366,0,0,1366,1,2,1,NA
Togo,Plateaux,Anie,160122,1,139306,19215,1601,0,0,1601,1,1,1,NA
Togo,Plateaux,Danyi,50649,1,43052,6584,1013,0,0,1013,1,1,1,NA
Togo,Plateaux,Est-Mono,155648,1,136970,15565,3113,0,0,3113,1,1,1,NA
Togo,Plateaux,Haho,316593,1,272270,41157,3166,0,0,3166,1,2,1,NA
Togo,Plateaux,Kloto,120271,1,103433,16838,0,0,0,0,1,1,1,NA
Togo,Plateaux,Kpele,77901,1,66995,9348,1558,0,0,1558,1,1,1,NA
Togo,Plateaux,Moyen-Mono,98212,1,88391,9821,0,0,0,0,1,2,1,NA
Togo,Plateaux,Ogou,119449,1,106310,11945,1194,0,0,1194,1,1,1,NA
Togo,Plateaux,Wawa,130967,1,117870,13097,0,0,0,0,1,1,1,NA
Togo,Savanes,Cinkasse,100732,2,71520,22161,7051,0,0,7051,3,2,1,NA
Togo,Savanes,Kpendjal-Ouest,295356,2,194935,76793,23628,0,0,23628,3,2,1,NA
Togo,Savanes,Kpendjal,98058,2,69621,21573,6864,0,0,6864,2,2,1,NA
Togo,Savanes,Oti-Sud,123151,2,88669,30788,3695,0,0,3695,2,2,1,NA
Togo,Savanes,Oti,157499,2,113399,39375,4725,0,0,4725,2,2,1,NA
Togo,Savanes,Tandjoare,151380,3,71149,45414,33304,1514,0,34817,3,3,1,NA
Togo,Savanes,Tone,366110,2,252616,69561,43933,0,0,43933,3,2,1,NA
