adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Togo,Maritime,Ave,110275,1,99248,11028,0,0,0,0
Togo,Maritime,Zio,349719,1,318244,31475,0,0,0,0
Togo,Maritime,Yoto,193660,1,183977,9683,0,0,0,0
Togo,Maritime,Vo,245763,2,189238,54068,2458,0,0,2458
Togo,Maritime,Bas - Mono,103727,1,94392,9335,0,0,0,0
Togo,Maritime,Lacs,202573,1,188393,14180,0,0,0,0
Togo,Plateaux,Agou,99938,1,94941,4997,0,0,0,0
Togo,Plateaux,Kloto,164797,1,156557,8240,0,0,0,0
Togo,Plateaux,Kpele,88888,1,86221,2667,0,0,0,0
Togo,Plateaux,Danyi,45711,1,44340,1371,0,0,0,0
Togo,Plateaux,Amou,123378,1,119677,3701,0,0,0,0
Togo,Plateaux,Wawa,118796,1,111668,7128,0,0,0,0
Togo,Plateaux,Akebou,72283,1,69392,2891,0,0,0,0
Togo,Plateaux,Ogou,230352,1,223441,6911,0,0,0,0
Togo,Plateaux,Anie,145683,1,138399,7284,0,0,0,0
Togo,Plateaux,Est -Mono,141849,1,137594,4255,0,0,0,0
Togo,Plateaux,Moyen - Mono,89529,1,85948,3581,0,0,0,0
Togo,Plateaux,Haho,288854,1,277300,11554,0,0,0,0
Togo,Centrale,Blitta,161554,1,145399,16155,0,0,0,0
Togo,Centrale,Sotouboua,142887,1,132885,10002,0,0,0,0
Togo,Centrale,Tchamba,153700,1,141404,12296,0,0,0,0
Togo,Centrale,Tchaoudjo,223917,1,194808,29109,0,0,0,0
Togo,Centrale,Plaine De Mo,44173,1,42848,1325,0,0,0,0
Togo,Kara,Assoli,60354,1,53112,7242,0,0,0,0
Togo,Kara,Bassar,139776,1,125798,13978,0,0,0,0
Togo,Kara,Binah,82539,1,71809,10730,0,0,0,0
Togo,Kara,Dankpen,151731,1,136558,15173,0,0,0,0
Togo,Kara,Kozah,266762,1,226748,40014,0,0,0,0
Togo,Kara,Doufelgou,92547,1,80516,12031,0,0,0,0
Togo,Kara,Keran,109712,1,96547,13165,0,0,0,0
Togo,Savanes,Oti,221149,1,207880,13269,0,0,0,0
Togo,Savanes,Kpendjal,179499,1,166934,12565,0,0,0,0
Togo,Savanes,Tandjouare,137735,1,117075,20660,0,0,0,0
Togo,Savanes,Cinkasse,91625,1,78798,12828,0,0,0,0
Togo,Savanes,Tone,333507,2,260135,66701,6670,0,0,6670
