adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Togo,Maritime,Ave,114500,1,103050,11450,0,0,0,0
Togo,Maritime,Zio,338100,1,307671,30429,0,0,0,0
Togo,Maritime,Yoto,201000,1,188940,12060,0,0,0,0
Togo,Maritime,Vo,255300,1,229770,25530,0,0,0,0
Togo,Maritime,Bas-Mono,107600,1,97916,9684,0,0,0,0
Togo,Maritime,Lacs,210400,1,193568,16832,0,0,0,0
Togo,Plateaux,Agou,103900,1,98705,5195,0,0,0,0
Togo,Plateaux,Kloto,171200,1,147232,25680,1712,0,0,1712
Togo,Plateaux,Kpele,92100,1,82890,9210,0,0,0,0
Togo,Plateaux,Danyi,47500,1,43225,4275,0,0,0,0
Togo,Plateaux,Amou,128200,1,114098,14102,0,0,0,0
Togo,Plateaux,Wawa,123000,1,111930,11070,0,0,0,0
Togo,Plateaux,Akebou,74800,1,68816,5984,0,0,0,0
Togo,Plateaux,Ogou,238400,1,207408,30992,0,0,0,0
Togo,Plateaux,Anie,150600,1,135540,15060,0,0,0,0
Togo,Plateaux,Est -Mono,146400,1,130296,16104,0,0,0,0
Togo,Plateaux,Moyen - Mono,92500,1,86950,5550,0,0,0,0
Togo,Plateaux,Haho,298000,1,277140,20860,0,0,0,0
Togo,Centrale,Blitta,166900,1,156886,10014,0,0,0,0
Togo,Centrale,Sotouboua,147900,1,139026,8874,0,0,0,0
Togo,Centrale,Tchamba,158700,1,150765,7935,0,0,0,0
Togo,Centrale,Tchaoudjo,232300,1,211393,20907,0,0,0,0
Togo,Centrale,Plaine De Mo,44900,1,43104,1796,0,0,0,0
Togo,Kara,Assoli,62700,1,57684,5016,0,0,0,0
Togo,Kara,Bassar,145000,1,134850,10150,0,0,0,0
Togo,Kara,Binah,85600,1,75328,10272,0,0,0,0
Togo,Kara,Dankpen,156200,1,145266,10934,0,0,0,0
Togo,Kara,Kozah,276800,1,251888,24912,0,0,0,0
Togo,Kara,Doufelgou,96300,1,85707,10593,0,0,0,0
Togo,Kara,Keran,113100,1,97266,15834,0,0,0,0
Togo,Savanes,Oti,112400,1,100036,12364,0,0,0,0
Togo,Savanes,Oti Sud,116000,1,96280,20880,1160,0,0,1160
Togo,Savanes,Kpendjal,73400,1,65326,8074,0,0,0,0
Togo,Savanes,Kpendjal Ouest,111600,1,98208,13392,0,0,0,0
Togo,Savanes,Tandjouare,142400,1,121040,24208,2848,0,0,2848
Togo,Savanes,Cinkasse,94800,1,85320,9480,0,0,0,0
Togo,Savanes,Tone,344600,1,310140,34460,0,0,0,0
